Project Name,Package Name,Architecture Smell,Cause of the Smell
real-logic_Aeron,io.aeron.samples,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
real-logic_Aeron,io.aeron.samples,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples; io.aeron.driver; io.aeron.test
real-logic_Aeron,io.aeron.samples,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples; io.aeron.driver; io.aeron; io.aeron.test
real-logic_Aeron,io.aeron.samples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmbeddedExclusiveBufferClaimIpcThroughput; SampleConfiguration; EmbeddedThroughput; EmbeddedDualExclusiveThroughput; Ping; EmbeddedPingPong; SamplesUtil; MultiplePublishersWithFragmentation; EmbeddedExclusiveThroughput; FileSender; BasicSubscriber; EmbeddedExclusiveSpiedThroughput; BacklogStat; EmbeddedExclusiveIpcThroughput; EmbeddedIpcThroughput; StreamingPublisher; MultipleSubscribersWithFragmentAssembly; FileReceiver; RateSubscriber; Pong; EmbeddedBufferClaimIpcThroughput; BasicPublisher; StreamStat; EmbeddedExclusiveVectoredIpcThroughput; ErrorStat; LossStat]; [EmbeddedExclusiveBufferClaimIpcThroughput.Publisher]; [EmbeddedBufferClaimIpcThroughput.Publisher]; [StreamStat.StreamCompositeKey]; [StreamStat.StreamPosition]; [EmbeddedExclusiveVectoredIpcThroughput.Publisher]; [LowLatencyMediaDriver]; [SimplePublisher]; [SetControllableIdleStrategy]; [SimpleSubscriber]; [ImageRateReporter]; [DriverTool]; [CncFileReader; AeronStat]; [RateReporterLhsPadding; RateReporterLhsPadding.RateReporterValues]; [RateReporterLhsPadding.RateReporterRhsPadding]; [RateReporterLhsPadding.RateReporter]; [RateReporterLhsPadding.Reporter]; [BacklogStat.StreamCompositeKey]; [BacklogStat.StreamBacklog]; [BacklogStat.AeronEntity]; [BacklogStat.Publisher]; [BacklogStat.Sender]; [BacklogStat.Receiver]; [BacklogStat.Subscriber]; [EmbeddedExclusiveIpcThroughput.Publisher]; [EmbeddedIpcThroughput.Publisher]; [AeronStat.CounterFilter]; [LogInspector; LogInspectorAsciiFormatBytesTest]; [ImageRateSubscriberLhsPadding; ImageRateSubscriberLhsPadding.ImageRateSubscriberValues]; [ImageRateSubscriberLhsPadding.ImageRateSubscriberRhsPadding]; [ImageRateSubscriberLhsPadding.ImageRateSubscriber]. LCC (Lack of Component Cohesion) = 0.52
real-logic_Aeron,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 10.0. All the dependencies among components: from: io.aeron.samples to: io.aeron.driver; from: io.aeron.samples to: io.aeron; from: io.aeron.samples to: io.aeron.driver.status; from: io.aeron.samples to: io.aeron.logbuffer; from: io.aeron.samples to: io.aeron.driver.reports; from: io.aeron.samples to: io.aeron.protocol; from: io.aeron.samples to: io.aeron.status; from: io.aeron.samples.cluster to: io.aeron.cluster.service; from: io.aeron.samples.cluster to: io.aeron; from: io.aeron.samples.cluster to: io.aeron.logbuffer; from: io.aeron.samples.cluster to: io.aeron.cluster; from: io.aeron.samples.cluster to: io.aeron.driver; from: io.aeron.samples.cluster to: io.aeron.archive; from: io.aeron.samples.cluster to: io.aeron.archive.client; from: io.aeron.samples.cluster.tutorial to: io.aeron.cluster.service; from: io.aeron.samples.cluster.tutorial to: io.aeron; from: io.aeron.samples.cluster.tutorial to: io.aeron.logbuffer; from: io.aeron.samples.cluster.tutorial to: io.aeron.driver; from: io.aeron.samples.cluster.tutorial to: io.aeron.cluster.client; from: io.aeron.samples.cluster.tutorial to: io.aeron.archive; from: io.aeron.samples.cluster.tutorial to: io.aeron.archive.client; from: io.aeron.samples.cluster.tutorial to: io.aeron.cluster; from: io.aeron.samples.echo to: io.aeron; from: io.aeron.samples.echo to: io.aeron.logbuffer; from: io.aeron.samples.echo to: io.aeron.samples.echo.api; from: io.aeron.samples.echo to: io.aeron.driver; from: io.aeron.samples.archive to: io.aeron.driver; from: io.aeron.samples.archive to: io.aeron.archive; from: io.aeron.samples.archive to: io.aeron; from: io.aeron.samples.archive to: io.aeron.archive.client; from: io.aeron.samples.archive to: io.aeron.logbuffer; from: io.aeron.samples.archive to: io.aeron.archive.status; from: io.aeron.samples.archive to: io.aeron.security; from: io.aeron.samples.archive to: io.aeron.protocol; from: io.aeron.samples.archive to: io.aeron.samples; from: io.aeron.samples.archive to: io.aeron.test; from: io.aeron.samples.raw to: io.aeron.driver; from: io.aeron.archive to: io.aeron; from: io.aeron.archive to: io.aeron.security; from: io.aeron.archive to: io.aeron.logbuffer; from: io.aeron.archive to: io.aeron.archive.client; from: io.aeron.archive to: io.aeron.archive.checksum; from: io.aeron.archive to: io.aeron.driver; from: io.aeron.archive to: io.aeron.driver.status; from: io.aeron.archive to: io.aeron.exceptions; from: io.aeron.archive to: io.aeron.protocol; from: io.aeron.archive to: io.aeron.archive.status; from: io.aeron.archive to: io.aeron.test; from: io.aeron.archive to: io.aeron.test.driver; from: io.aeron.archive to: io.aeron.samples.archive; from: io.aeron.archive.status to: io.aeron; from: io.aeron.archive.client to: io.aeron; from: io.aeron.archive.client to: io.aeron.logbuffer; from: io.aeron.archive.client to: io.aeron.security; from: io.aeron.archive.client to: io.aeron.exceptions; from: io.aeron.agent to: io.aeron.protocol; from: io.aeron.agent to: io.aeron; from: io.aeron.agent to: io.aeron.logbuffer; from: io.aeron.agent to: io.aeron.cluster; from: io.aeron.agent to: io.aeron.cluster.service; from: io.aeron.agent to: io.aeron.archive.client; from: io.aeron.agent to: io.aeron.archive; from: io.aeron.agent to: io.aeron.driver; from: io.aeron.agent to: io.aeron.test.cluster; from: io.aeron.agent to: io.aeron.test; from: io.aeron to: io.aeron.logbuffer; from: io.aeron to: io.aeron.status; from: io.aeron to: io.aeron.command; from: io.aeron to: io.aeron.exceptions; from: io.aeron to: io.aeron.protocol; from: io.aeron to: io.aeron.test; from: io.aeron to: io.aeron.driver; from: io.aeron to: io.aeron.test.driver; from: io.aeron to: io.aeron.samples.echo; from: io.aeron to: io.aeron.samples.echo.api; from: io.aeron to: io.aeron.driver.media; from: io.aeron to: io.aeron.driver.status; from: io.aeron to: io.aeron.driver.ext; from: io.aeron to: io.aeron.driver.reports; from: io.aeron.command to: io.aeron; from: io.aeron.status to: io.aeron; from: io.aeron.logbuffer to: io.aeron; from: io.aeron.logbuffer to: io.aeron.protocol; from: io.aeron.logbuffer to: io.aeron.exceptions; from: io.aeron.exceptions to: io.aeron; from: io.aeron.driver to: io.aeron.driver.media; from: io.aeron.driver to: io.aeron.protocol; from: io.aeron.driver to: io.aeron.driver.buffer; from: io.aeron.driver to: io.aeron; from: io.aeron.driver to: io.aeron.command; from: io.aeron.driver to: io.aeron.exceptions; from: io.aeron.driver to: io.aeron.driver.status; from: io.aeron.driver to: io.aeron.driver.reports; from: io.aeron.driver to: io.aeron.driver.ext; from: io.aeron.driver to: io.aeron.logbuffer; from: io.aeron.driver to: io.aeron.status; from: io.aeron.driver to: io.aeron.driver.exceptions; from: io.aeron.driver to: io.aeron.test; from: io.aeron.driver to: io.aeron.test.driver; from: io.aeron.driver.status to: io.aeron; from: io.aeron.driver.status to: io.aeron.status; from: io.aeron.driver.exceptions to: io.aeron; from: io.aeron.driver.ext to: io.aeron.driver.media; from: io.aeron.driver.ext to: io.aeron.driver; from: io.aeron.driver.ext to: io.aeron.protocol; from: io.aeron.driver.ext to: io.aeron.driver.status; from: io.aeron.driver.media to: io.aeron.driver; from: io.aeron.driver.media to: io.aeron.protocol; from: io.aeron.driver.media to: io.aeron; from: io.aeron.driver.media to: io.aeron.status; from: io.aeron.driver.media to: io.aeron.driver.status; from: io.aeron.driver.media to: io.aeron.exceptions; from: io.aeron.driver.buffer to: io.aeron.exceptions; from: io.aeron.driver.buffer to: io.aeron.driver; from: io.aeron.driver.buffer to: io.aeron.logbuffer; from: io.aeron.cluster to: io.aeron.archive.client; from: io.aeron.cluster to: io.aeron.cluster.client; from: io.aeron.cluster to: io.aeron.cluster.service; from: io.aeron.cluster to: io.aeron.logbuffer; from: io.aeron.cluster to: io.aeron; from: io.aeron.cluster to: io.aeron.archive.status; from: io.aeron.cluster to: io.aeron.exceptions; from: io.aeron.cluster to: io.aeron.protocol; from: io.aeron.cluster to: io.aeron.driver; from: io.aeron.cluster to: io.aeron.archive; from: io.aeron.cluster to: io.aeron.driver.status; from: io.aeron.cluster to: io.aeron.status; from: io.aeron.cluster to: io.aeron.security; from: io.aeron.cluster to: io.aeron.driver.media; from: io.aeron.cluster to: io.aeron.test.cluster; from: io.aeron.cluster to: io.aeron.test; from: io.aeron.cluster to: io.aeron.driver.exceptions; from: io.aeron.cluster to: io.aeron.test.launcher; from: io.aeron.cluster to: io.aeron.samples.cluster; from: io.aeron.cluster to: io.aeron.samples.cluster.tutorial; from: io.aeron.cluster.service to: io.aeron; from: io.aeron.cluster.service to: io.aeron.logbuffer; from: io.aeron.cluster.service to: io.aeron.exceptions; from: io.aeron.cluster.service to: io.aeron.status; from: io.aeron.cluster.service to: io.aeron.archive.client; from: io.aeron.cluster.service to: io.aeron.driver; from: io.aeron.cluster.service to: io.aeron.protocol; from: io.aeron.cluster.service to: io.aeron.archive.status; from: io.aeron.cluster.service to: io.aeron.cluster.client; from: io.aeron.cluster.service to: io.aeron.cluster; from: io.aeron.cluster.client to: io.aeron.exceptions; from: io.aeron.cluster.client to: io.aeron; from: io.aeron.cluster.client to: io.aeron.logbuffer; from: io.aeron.cluster.client to: io.aeron.security; from: io.aeron.log to: io.aeron.test; from: io.aeron.test.driver to: io.aeron.driver; from: io.aeron.test.driver to: io.aeron; from: io.aeron.test.driver to: io.aeron.protocol; from: io.aeron.test.driver to: io.aeron.driver.ext; from: io.aeron.test to: io.aeron.logbuffer; from: io.aeron.test to: io.aeron.test.cluster; from: io.aeron.test to: io.aeron.samples; from: io.aeron.test to: io.aeron; from: io.aeron.test to: io.aeron.exceptions; from: io.aeron.test to: io.aeron.test.driver; from: io.aeron.test.cluster to: io.aeron.cluster.service; from: io.aeron.test.cluster to: io.aeron; from: io.aeron.test.cluster to: io.aeron.logbuffer; from: io.aeron.test.cluster to: io.aeron.test.driver; from: io.aeron.test.cluster to: io.aeron.archive; from: io.aeron.test.cluster to: io.aeron.cluster; from: io.aeron.test.cluster to: io.aeron.driver; from: io.aeron.test.cluster to: io.aeron.archive.client; from: io.aeron.test.cluster to: io.aeron.test; from: io.aeron.test.cluster to: io.aeron.cluster.client; from: io.aeron.test.cluster to: io.aeron.security; from: io.aeron.test.cluster to: io.aeron.samples.archive; from: io.aeron.test.cluster to: io.aeron.archive.status; from: io.aeron.test.cluster to: io.aeron.exceptions; from: io.aeron.test.cluster to: io.aeron.driver.status.
real-logic_Aeron,io.aeron.samples.cluster,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.cluster; io.aeron.cluster
real-logic_Aeron,io.aeron.samples.cluster,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.cluster; io.aeron.cluster.service; io.aeron.cluster
real-logic_Aeron,io.aeron.samples.cluster.tutorial,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.cluster.tutorial; io.aeron.cluster
real-logic_Aeron,io.aeron.samples.cluster.tutorial,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.cluster.tutorial; io.aeron.cluster.service; io.aeron.cluster
real-logic_Aeron,io.aeron.samples.cluster.tutorial,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasicAuctionClusteredService; BasicAuctionClusteredServiceNode; BasicAuctionClusterClient]; [BasicAuctionClusteredService.Auction]; [SingleNodeCluster]; [SingleNodeCluster.Service]. LCC (Lack of Component Cohesion) = 0.67
