Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
reds-heig_logisim-evolution,com.cburch.logisim.fpga.hdlgenerator,HdlTest,testMarkers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim.fpga.hdlgenerator,HdlTest,testMarkersLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim.file,XmlReaderTest,testGenerateValidVHDLLabel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21
reds-heig_logisim-evolution,com.cburch.logisim.file,XmlReaderTest,testLabelVHDLInvalid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
reds-heig_logisim-evolution,com.cburch.logisim,CollectionUtilTest,testIsNotEmptyNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,CollectionUtilTest,testIsNullOrEmptyPositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testClear,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testAdd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testAddContentFromAnotherLineBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testAddVarArgs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testAddWordsAndWithPair,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testMultiplePlaceholdersInLine,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testGetWithIndent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testAddUnique,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testDefaultConstructorIsNotPublic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testPlaceholderSoroundedByThreeBrackets,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testRemarkLine,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testBuildRemarkBlock,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testBuildRemarkBlockWithIndent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
reds-heig_logisim-evolution,com.cburch.logisim,LineBufferTest,testMultilineRemarkBlock,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
reds-heig_logisim-evolution,com.cburch.logisim,StringUtilTest,testIsNotEmptyPositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,StringUtilTest,testIsNotEmptyNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,StringUtilTest,testIsNullOrEmptyPositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,StringUtilTest,testStartWithFor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LogisimVersionTest,testFromString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
reds-heig_logisim-evolution,com.cburch.logisim,LogisimVersionTest,testToStringReturnsNoSeparator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
reds-heig_logisim-evolution,com.cburch.logisim,LogisimVersionTest,testCompareTo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
reds-heig_logisim-evolution,com.cburch.logisim,LogisimVersionTest,testCompareToWithSuffix,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
reds-heig_logisim-evolution,com.cburch.logisim,LogisimVersionTest,testEqualsObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
