Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.packaging,PackageBuilderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; NAME; DESCRIPTION; USER; PGP_ALIAS; PGP_PASSWORD; temporaryFolder; inputDir; extractor; builder
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,DropwizardMojo,Feature Envy,The tool detected a instance of this smell because buildResourceList is more interested in members of the type: PathConfiguration
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,DefaultDropwizardMojoTest,Feature Envy,The tool detected a instance of this smell because testParameterMapContainsExpectedValues is more interested in members of the type: DropwizardMojo
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,DefaultDropwizardMojoTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDropwizardMojoTest
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,ConfiguredDropwizardMojoTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDropwizardMojoTest
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,InvalidDropwizardMojoTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,InvalidDropwizardMojoTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractDropwizardMojoTest
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg,AbstractDropwizardMojoTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mojo; temporaryFolder
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.util,SystemConsole,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.validation,ApplicationValidatorTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; APPLICATION_JAR_URI; temporaryFolder; applicationJar
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.validation,ApplicationValidatorTest.NoMainMethodClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.validation,ApplicationValidatorTest.NoMainMethodClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.template.mustache,StrictReflectionObjectHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.transforms,ResourceProducerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: temporaryFolder; source; producer
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.stub,TestJarProjectStub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reines_dropwizard-debpkg-maven-plugin,com.jamierf.dropwizard.debpkg.stub,TestJarProjectStub,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TestProjectStub
