Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchNullWithAnyReturningValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchAnyReturningValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchNullWithAnyReturningAppliedFunction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchAnyReturningAppliedFunction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchValueReturningValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchValueReturningAppliedFunction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchPredicateReturningValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldMatchPredicateReturningAppliedFunction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldRunUnitOfWork,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldRunWithInferredArguments,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
rocketscience-projects_javaslang,io.vavr,MatchTest,shouldNotAmbiguous,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
rocketscience-projects_javaslang,io.vavr,MatchErrorTest,shouldReturnCorrectObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rocketscience-projects_javaslang,io.vavr,MatchErrorTest,shouldReturnCorrectObject,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
rocketscience-projects_javaslang,io.vavr,FoldOperatorTest,given_foldOperator_when_simpleCombination_then_expectedBehaviourTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
rocketscience-projects_javaslang,io.vavr,LazyTest,shouldIterate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
