Project Name,Package Name,Architecture Smell,Cause of the Smell
roikku_swift-explorer,org.swiftexplorer.swift.operations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.operations; org.swiftexplorer.gui.util
roikku_swift-explorer,org.swiftexplorer.swift.operations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.operations; org.swiftexplorer.util; org.swiftexplorer.gui.util
roikku_swift-explorer,org.swiftexplorer.swift.operations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.operations; org.swiftexplorer.util; org.swiftexplorer; org.swiftexplorer.gui
roikku_swift-explorer,org.swiftexplorer.swift.operations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.operations; org.swiftexplorer.swift.util; org.swiftexplorer.auth.oauth; org.swiftexplorer.auth.webbrowser; org.swiftexplorer.gui.util
roikku_swift-explorer,org.swiftexplorer.swift.operations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProgressInformation; LargeObjectManager; SwiftOperationsImpl; ContainerSpecification; SwiftOperations; LargeObjectManagerImpl; SwiftOperationsAsyncTest; SwiftOperationsTest; LargeObjectManagerTest; DifferencesFinderTest; DifferencesFinder]; [SwiftOperations.SwiftCallback]; [SwiftOperations.StopRequester]; [SwiftOperations.ComparisonItem]; [SwiftOperations.ResultCallback]; [DifferencesFinder.AbstractComparisonItem]; [DifferencesFinder.LocalItem]; [DifferencesFinder.RemoteItem]; [SwiftOperationsTest.FindFilesDifferencesTestScenario]; [SwiftOperationsTest.FindDirectoriesDifferencesTestScenario]. LCC (Lack of Component Cohesion) = 0.5
roikku_swift-explorer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.26. All the dependencies among components: from: org.swiftexplorer.swift.operations to: org.swiftexplorer.config.proxy; from: org.swiftexplorer.swift.operations to: org.swiftexplorer.config.swift; from: org.swiftexplorer.swift.operations to: org.swiftexplorer.swift.util; from: org.swiftexplorer.swift.operations to: org.swiftexplorer.util; from: org.swiftexplorer.swift.operations to: org.swiftexplorer.gui.util; from: org.swiftexplorer.swift.operations to: org.swiftexplorer.swift.client.factory; from: org.swiftexplorer.swift.operations to: org.swiftexplorer; from: org.swiftexplorer.swift.instructions to: org.swiftexplorer; from: org.swiftexplorer.swift.instructions to: org.swiftexplorer.util; from: org.swiftexplorer.swift.util to: org.swiftexplorer.config.auth; from: org.swiftexplorer.swift.util to: org.swiftexplorer.auth.oauth; from: org.swiftexplorer.swift.util to: org.swiftexplorer.swift; from: org.swiftexplorer.swift.util to: org.swiftexplorer.config; from: org.swiftexplorer.swift.util to: org.swiftexplorer.auth.builder.api; from: org.swiftexplorer.swift.client.factory to: org.swiftexplorer.swift; from: org.swiftexplorer.swift.client.factory to: org.swiftexplorer.config.proxy; from: org.swiftexplorer.swift.client.impl to: org.swiftexplorer.swift; from: org.swiftexplorer.swift.client.impl to: org.swiftexplorer.swift.util; from: org.swiftexplorer.swift.client.impl to: org.swiftexplorer.config.proxy; from: org.swiftexplorer.gui to: org.swiftexplorer.swift.operations; from: org.swiftexplorer.gui to: org.swiftexplorer.util; from: org.swiftexplorer.gui to: org.swiftexplorer.config; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.util; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.preview; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.login; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.localization; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.log; from: org.swiftexplorer.gui to: org.swiftexplorer.swift; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.settings; from: org.swiftexplorer.gui to: org.swiftexplorer.config.swift; from: org.swiftexplorer.gui to: org.swiftexplorer.gui.diff; from: org.swiftexplorer.gui to: org.swiftexplorer.swift.util; from: org.swiftexplorer.gui to: org.swiftexplorer.swift.client.factory; from: org.swiftexplorer.gui.util to: org.swiftexplorer.swift.util; from: org.swiftexplorer.gui.util to: org.swiftexplorer.swift.operations; from: org.swiftexplorer.gui.login to: org.swiftexplorer.gui.localization; from: org.swiftexplorer.gui.login to: org.swiftexplorer.gui; from: org.swiftexplorer.gui.log to: org.swiftexplorer.gui.localization; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.swift.operations; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.gui.localization; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.swift.util; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.gui; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.gui.util; from: org.swiftexplorer.gui.diff to: org.swiftexplorer.util; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.gui.localization; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.gui; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.config.swift; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.util; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.config; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.config.localization; from: org.swiftexplorer.gui.settings to: org.swiftexplorer.config.proxy; from: org.swiftexplorer to: org.swiftexplorer.config.localization; from: org.swiftexplorer to: org.swiftexplorer.gui.localization; from: org.swiftexplorer to: org.swiftexplorer.gui; from: org.swiftexplorer to: org.swiftexplorer.config; from: org.swiftexplorer.auth.oauth to: org.swiftexplorer.auth.builder.api; from: org.swiftexplorer.auth.oauth to: org.swiftexplorer.auth; from: org.swiftexplorer.auth.oauth to: org.swiftexplorer.auth.server; from: org.swiftexplorer.auth.oauth to: org.swiftexplorer.auth.webbrowser; from: org.swiftexplorer.auth.builder.api to: org.swiftexplorer.config; from: org.swiftexplorer.auth.extractors to: org.swiftexplorer.auth; from: org.swiftexplorer.auth.webbrowser to: org.swiftexplorer.auth.server; from: org.swiftexplorer.auth.webbrowser to: org.swiftexplorer.gui.util; from: org.swiftexplorer.config to: org.swiftexplorer.config.proxy; from: org.swiftexplorer.config to: org.swiftexplorer.config.swift; from: org.swiftexplorer.config to: org.swiftexplorer.config.auth; from: org.swiftexplorer.config to: org.swiftexplorer.config.localization; from: org.swiftexplorer.config to: org.swiftexplorer.util; from: org.swiftexplorer.util to: org.swiftexplorer.swift.instructions; from: org.swiftexplorer.util to: org.swiftexplorer.gui.util; from: org.swiftexplorer.util to: org.swiftexplorer.
roikku_swift-explorer,org.swiftexplorer.swift.instructions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.instructions; org.swiftexplorer.util
roikku_swift-explorer,org.swiftexplorer.swift.instructions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.instructions; org.swiftexplorer; org.swiftexplorer.gui; org.swiftexplorer.util
roikku_swift-explorer,org.swiftexplorer.swift.instructions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.instructions; org.swiftexplorer; org.swiftexplorer.gui; org.swiftexplorer.swift.operations; org.swiftexplorer.util
roikku_swift-explorer,org.swiftexplorer.swift.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.swiftexplorer.swift.util; org.swiftexplorer.auth.oauth; org.swiftexplorer.auth.webbrowser; org.swiftexplorer.gui.util
