Project Name,Package Name,Architecture Smell,Cause of the Smell
rpau_walkmod-core,org.walkmod,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod; org.walkmod.conf.entities
rpau_walkmod-core,org.walkmod,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod; org.walkmod.conf.entities; org.walkmod.conf.entities.impl
rpau_walkmod-core,org.walkmod,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod; org.walkmod.conf.entities; org.walkmod.conf.entities.impl; org.walkmod.conf
rpau_walkmod-core,org.walkmod,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.walkmod.commands; org.walkmod.conf.providers; org.walkmod.conf.entities.impl; org.walkmod.writers
rpau_walkmod-core,org.walkmod,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Options; WalkModFacade; WalkmodCommand; OptionsBuilder; AbstractWalkmodExecutionTest; WalkmodFacadeTest; WalkmodDispatcherTest; OptionsTest; ScriptEngineExecutionTest; WalkModDispatcher]; [Resource; ChainAdapter; ChainWalkerAdapter; ResourceModifier; ChainWriter; ChainWalker; ChainReader; ChainAdapterFactory; ChainWalkerInvocation; ChainInvocation]; [Converter]; [Preparer]; [Result]; [ConfigurationAdapter]; [AsciiTableWidth]; [WalkmodFacadeTest.MockConfigurationProvider]. LCC (Lack of Component Cohesion) = 0.31
rpau_walkmod-core,org.walkmod,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.walkmod.conf; org.walkmod.conf.entities.
rpau_walkmod-core,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.45. All the dependencies among components: from: org.walkmod to: org.walkmod.conf.entities; from: org.walkmod to: org.walkmod.commands; from: org.walkmod to: org.walkmod.exceptions; from: org.walkmod to: org.walkmod.conf; from: org.walkmod to: org.walkmod.conf.providers; from: org.walkmod to: org.walkmod.conf.entities.impl; from: org.walkmod to: org.walkmod.writers; from: org.walkmod to: org.walkmod.walkers; from: org.walkmod.walkers to: org.walkmod; from: org.walkmod.walkers to: org.walkmod.conf.entities; from: org.walkmod.util to: org.walkmod.util.location; from: org.walkmod.util to: org.walkmod.utils; from: org.walkmod.util.location to: org.walkmod.util; from: org.walkmod.readers to: org.walkmod; from: org.walkmod.readers to: org.walkmod.util; from: org.walkmod.query to: org.walkmod.walkers; from: org.walkmod.impl to: org.walkmod; from: org.walkmod.impl to: org.walkmod.exceptions; from: org.walkmod.impl to: org.walkmod.conf.entities; from: org.walkmod.impl to: org.walkmod.walkers; from: org.walkmod.impl to: org.walkmod.conf; from: org.walkmod.conf to: org.walkmod.conf.entities; from: org.walkmod.conf to: org.walkmod.conf.entities.impl; from: org.walkmod.conf to: org.walkmod; from: org.walkmod.conf to: org.walkmod.impl; from: org.walkmod.conf.entities to: org.walkmod; from: org.walkmod.conf.entities to: org.walkmod.conf.entities.impl; from: org.walkmod.conf.entities to: org.walkmod.conf; from: org.walkmod.conf.entities.impl to: org.walkmod.conf; from: org.walkmod.conf.entities.impl to: org.walkmod.conf.entities; from: org.walkmod.conf.entities.impl to: org.walkmod; from: org.walkmod.conf.entities.impl to: org.walkmod.writers; from: org.walkmod.conf.entities.impl to: org.walkmod.impl; from: org.walkmod.conf.providers to: org.walkmod.conf.entities; from: org.walkmod.conf.providers to: org.walkmod.conf.entities.impl; from: org.walkmod.conf.providers to: org.walkmod.conf; from: org.walkmod.conf.providers to: org.walkmod.conf.providers.yml; from: org.walkmod.conf.providers to: org.walkmod.util; from: org.walkmod.conf.providers to: org.walkmod.conf.providers.xml; from: org.walkmod.conf.providers to: org.walkmod; from: org.walkmod.conf.providers to: org.walkmod.commands; from: org.walkmod.conf.providers.yml to: org.walkmod.conf.entities; from: org.walkmod.conf.providers.yml to: org.walkmod.conf.providers; from: org.walkmod.conf.providers.yml to: org.walkmod.conf; from: org.walkmod.conf.providers.yml to: org.walkmod.conf.entities.impl; from: org.walkmod.conf.providers.xml to: org.walkmod.conf.entities; from: org.walkmod.conf.providers.xml to: org.walkmod.conf.providers; from: org.walkmod.conf.providers.xml to: org.walkmod.conf; from: org.walkmod.conf.providers.xml to: org.walkmod.conf.entities.impl; from: org.walkmod.writers to: org.walkmod.walkers; from: org.walkmod.templates to: org.walkmod.walkers; from: org.walkmod.templates to: org.walkmod.conf.entities; from: org.walkmod.templates to: org.walkmod; from: org.walkmod.scripting to: org.walkmod.query; from: org.walkmod.scripting to: org.walkmod.walkers; from: org.walkmod.exceptions to: org.walkmod.util.location; from: org.walkmod.commands to: org.walkmod; from: org.walkmod.commands to: org.walkmod.conf.entities; from: org.walkmod.commands to: org.walkmod.conf.entities.impl; from: org.walkmod.commands to: org.walkmod.patches.
rpau_walkmod-core,org.walkmod.walkers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod.walkers; org.walkmod
rpau_walkmod-core,org.walkmod.walkers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod.walkers; org.walkmod; org.walkmod.writers
rpau_walkmod-core,org.walkmod.walkers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.walkmod; org.walkmod.conf.entities
rpau_walkmod-core,org.walkmod.walkers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChangeLogPrinter]; [ParserAware; Parser; ParseException]; [AbstractWalker; VisitorMessage; VisitorContext]. LCC (Lack of Component Cohesion) = 0.43
rpau_walkmod-core,org.walkmod.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod.util; org.walkmod.util.location
rpau_walkmod-core,org.walkmod.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DomHelper]; [DomHelper.DOMBuilder]; [DomHelper.StartHandler]; [FileResource; FileResourceTest]; [ClassLoaderUtil]; [ClassLoaderUtil.AggregateIterator]. LCC (Lack of Component Cohesion) = 0.86
rpau_walkmod-core,org.walkmod.util.location,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod.util.location; org.walkmod.util
rpau_walkmod-core,org.walkmod.util.location,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.walkmod.util
rpau_walkmod-core,org.walkmod.util.location,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LocationAttributes; Location; Locatable; LocationImpl; LocationUtils]; [LocationAttributes.Pipe]; [LocationUtils.LocationFinder]. LCC (Lack of Component Cohesion) = 0.43
rpau_walkmod-core,org.walkmod.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.walkmod.impl; org.walkmod.conf
