Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryException,banner,Long Statement,The length of the statement "return "\n" + "################################################################################\n" + message + "\n"+ "################################################################################";" is 200.,32
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryConfig,loadPropertiesFiles,Long Identifier,The length of the field PROP_WAITUNTIL_POLLING_INTERVAL is 31.,54
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,propRead,Long Statement,The length of the statement "seleniumQueryFunctions.propertyReadMethod=configureReturnValue(configuredPropertyValue).forArgs(seleniumQueryObject`propertyName);" is 130.,40
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,propWrite,Long Statement,The length of the statement "seleniumQueryFunctions.propertyWriteMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`propertyName`propertyValue);" is 147.,55
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,valWriteString,Long Statement,The length of the statement "seleniumQueryFunctions.valueWriteStringMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`propertyValue);" is 137.,85
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,valWriteNumber,Long Statement,The length of the statement "seleniumQueryFunctions.valueWriteNumberMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`propertyValue);" is 137.,100
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,filterPredicateFunction,Empty catch clause,The method has an empty catch block.,115
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,filterPredicateFunction,Long Statement,The length of the statement "seleniumQueryFunctions.filterPredicateMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`stubFilterFunctionApplyMethod);" is 152.,115
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,equals,Empty catch clause,The method has an empty catch block.,127
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,filterSelectorFunction,Long Statement,The length of the statement "seleniumQueryFunctions.filterSelectorMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`selector);" is 130.,145
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,isSelectorFunction,Long Statement,The length of the statement "seleniumQueryFunctions.isSelectorMethod=configureReturnValue(configuredReturningValue).forArgs(seleniumQueryObject`configuredSelector);" is 135.,160
seleniumQuery_seleniumQuery,io.github.seleniumquery,SeleniumQueryObjectTest,eachFunction,Long Statement,The length of the statement "seleniumQueryFunctions.eachMethod=configureReturnValue(configuredReturningObject).forArgs(seleniumQueryObject`eachFunctionArgument);" is 132.,176
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.assertthat,FluentAssertThat,apply,Long Statement,The length of the statement "throw new SeleniumQueryAssertionError(String.format("Failed assertion %s.assertThat().%s.\n\n%s"`seleniumQueryObject`evaluator.describeEvaluatorFunction(value`fluentBehaviorModifier)`evaluator.expectedVsActualMessage(fluentBehaviorModifier`value`evaluationReport.getLastValue()`"")));" is 284.,28
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPatternEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .matches(<Pattern>)... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: <"+ regexPattern+ ">.");" is 131.,47
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPatternEvaluator,expectedVsActualMessage,Long Statement,The length of the statement "return String.format("expected: <%s %sto match Pattern \"%s\">\nbut: <%s%s was \"%s\">"`getter.toString()`fluentBehaviorModifier.asString()`regexPattern`actualPrefix`getter.toString()`lastValue);" is 195.,61
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPredicateEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .matches(<predicate function>)... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: <predicate function>.");" is 142.,46
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesStringRegexEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .matches(<regex>)... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: <"+ quoteArg(regex)+ ">.");" is 132.,44
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesHamcrestMatcherEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .matches(<Matcher>)... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: <"+ matcher+ ">.");" is 126.,45
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPredicateEvaluatorTest,evaluates__success,Long Statement,The length of the statement "SeleniumQueryObject sqo=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("aaa")`new TextFunctionTest.WebElementText("bbb"));" is 153.,24
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPredicateEvaluatorTest,evaluates__fail,Long Statement,The length of the statement "SeleniumQueryObject sqo=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("zzz")`new TextFunctionTest.WebElementText("bbb"));" is 153.,34
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesStringRegexEvaluatorTest,evaluates__success,Long Statement,The length of the statement "SeleniumQueryObject elements=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("aaa")`new TextFunctionTest.WebElementText("bbb"));" is 158.,21
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesStringRegexEvaluatorTest,evaluates__fails,Long Statement,The length of the statement "SeleniumQueryObject elements=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("zzz")`new TextFunctionTest.WebElementText("bbb"));" is 158.,31
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesStringRegexEvaluatorTest,stringFor,Long Statement,The length of the statement "String stringFor=matchesStringRegexEvaluator.describeEvaluatorFunction("a{3} b{3}"`FluentBehaviorModifier.NEGATED_BEHAVIOR);" is 124.,41
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPatternEvaluatorTest,evaluates__success,Long Statement,The length of the statement "SeleniumQueryObject elements=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("aaa")`new TextFunctionTest.WebElementText("bbb"));" is 158.,24
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPatternEvaluatorTest,evaluates__fail,Long Statement,The length of the statement "SeleniumQueryObject elements=createStubSeleniumQueryObjectWithElements(new TextFunctionTest.WebElementText("zzz")`new TextFunctionTest.WebElementText("bbb"));" is 158.,34
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.matches,MatchesPatternEvaluatorTest,stringFor,Long Statement,The length of the statement "String stringFor=matchesPatternEvaluator.describeEvaluatorFunction(caseInsensitivePattern`FluentBehaviorModifier.NEGATED_BEHAVIOR);" is 131.,44
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,ContainsEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .contains()... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: "+ quoteArg(valueToContain)+ ".");" is 133.,36
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,Evaluator,expectedVsActualMessage,Long Statement,The length of the statement "return String.format("expected: <%s %sto " + describeExpectedValue(evaluatorArgument) + ">\nbut: <%s%s was %s>"`getterAsString()`fluentBehaviorModifier.asString()`actualPrefix`getterAsString()`quoteValue(lastValue));" is 216.,30
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,Evaluator,quoteAny,Long Statement,The length of the statement "String valueToBeQuotedTrimmed=valueToBeQuotedAsString.length() > MAX_LENGTH_DISPLAY ? valueToBeQuotedAsString.substring(0`MAX_LENGTH_DISPLAY - 3) + "..." : valueToBeQuotedAsString;" is 180.,53
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,Evaluator,quoteAny,Magic Number,The method contains a magic number: 3,53
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,ContainsIgnoreCaseEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating .containsIgnoreCase()... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: "+ quoteArg(valueToContain)+ ".");" is 143.,37
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,ContainsIgnoreCaseEvaluator,evaluate,Long Statement,The length of the statement "boolean satisfiesConstraints=actualValue != null && StringUtils.containsIgnoreCase(actualValue.toString()`valueToContain);" is 122.,37
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators,ContainsIgnoreCaseEvaluator,describeEvaluatorFunction,Long Statement,The length of the statement "return getter.toString() + fluentBehaviorModifier.asFunctionName() + ".containsIgnoreCase("+ quoteArg(valueToContain)+ ")";" is 123.,46
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.comparison,ComparisonEvaluatorUtils,handleException,Long Statement,The length of the statement "return new IllegalArgumentException(format("Error parsing \"%s\" into a number. " + "The conversion function uses the default Locale. " + "If your number uses a diferent format` try changing the default Locale through \"Locale.setDefaultLocale(Locale.<SOME_OTHER_LOCALE>);\" before executing the comparison."`failedParsingObject)`e);" is 333.,54
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.comparison,ComparisonEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating ." + getFunctionName() + "()... got "+ getter+ ": "+ quoteValue(actualValue)+ ". Wanted: "+ quoteArg(valueToCompare)+ ".");" is 148.,51
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.comparison,ComparisonEvaluator,describeEvaluatorFunction,Long Statement,The length of the statement "return String.format("%s.%s(%s)"`getter.toString() + fluentBehaviorModifier.asFunctionName()`getFunctionName()`valueToCompare);" is 127.,77
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.evaluators.is,IsEqualToEvaluator,evaluate,Long Statement,The length of the statement "LOGGER.debug("Evaluating isEqualTo()... got " + getter + ": "+ quoteValue(actualValue)+ ". Wanted: "+ quoteValue(actualValue)+ ".");" is 132.,40
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions,ApplyUntil,andOrThen,Long Statement,The length of the statement "return new AndOrThen(fluentFunction.apply(evaluator`value`seleniumQueryObject`this.fluentBehaviorModifier)`this.fluentFunction);" is 128.,77
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions,SqFluentFunction,isAnd,Long Statement,The length of the statement "SeleniumQueryObject sqoAfter=this.fluentFunction.apply(evaluator`evaluatorArgument`seleniumQueryObject`FluentBehaviorModifier.REGULAR_BEHAVIOR);" is 144.,98
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.waituntil,FluentWaitUntil,apply,Long Statement,The length of the statement "new FluentWait<>(ANY_NON_NULL_VALUE).withTimeout(waitUntilTimeout`TimeUnit.MILLISECONDS).pollingEvery(waitUntilPollingInterval`TimeUnit.MILLISECONDS).ignoring(StaleElementReferenceException.class).ignoring(NoSuchElementException.class).until(waitFunction);" is 256.,79
seleniumQuery_seleniumQuery,io.github.seleniumquery.internal.fluentfunctions.waituntil,FluentWaitUntil,apply,Long Statement,The length of the statement "throw InternalExceptionFactory.newTimeoutException(sourceException`seleniumQueryObject`value`fluentBehaviorModifier`evaluator`lastEvaluationReport[0].getLastValue());" is 166.,79
