Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningDataDrivenJBehaveStories,a_data_driven_test_should_produce_a_set_of_steps_per_line_of_data,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningDataDrivenJBehaveStories,a_data_driven_test_should_produce_a_steps_with_the_data_values_in_the_titles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningDataDrivenJBehaveStories,a_data_driven_test_should_produce_a_successful_result_if_all_rows_are_successful,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningDataDrivenJBehaveStories,a_failing_step_in_a_data_driven_test_should_not_affect_subsequent_steps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningDataDrivenJBehaveStories,a_failing_step_in_a_data_driven_test_should_be_recorded_in_the_examples_table,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithScreenshots,web_tests_should_take_screenshots_for_multiple_tests,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStories,for_jbehave_stories_the_test_source_is_saved_in_the_outcome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,passing_stories_should_be_reported_as_passing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,state_should_be_conserved_between_steps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,state_should_not_be_conserved_between_stories,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,a_passing_story_with_steps_should_record_the_steps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,the_given_when_then_clauses_should_count_as_steps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,a_test_running_a_slow_story_should_not_fail_if_it_does_not_timeout,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,test_should_count_not_merge_main_step,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,test_stories_should_be_named_after_the_main_behavior_when_given_stories_are_present,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,a_scenario_should_convert_dates_and_times,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,should_reset_steps_for_each_scenario,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithSuccess,shared_variables_between_steps_are_allowed_if_configured,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenConfiguringJBehaveStorySteps,spring_autowiring_in_jbehave_steps_should_be_supported,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenConfiguringJBehaveStorySteps,should_instantiate_page_objects_in_jbehave_steps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenLoadingClassesFromAPackage,shouldLoadAllClassesInAPackage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithIgnored,a_test_running_a_failing_story_should_not_fail_if_ignore_failures_in_stories_is_set_to_true,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
serenity-bdd_serenity-jbehave,net.serenitybdd.jbehave,WhenRunningJBehaveStoriesWithIgnored,should_mark_scenarios_with_failing_assumption_as_skipped,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
