Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
shamanland_xdroid,xdroid.example,ExampleBinder,onNewData,Magic Number,The method contains a magic number: 5,17
shamanland_xdroid,xdroid.core,ReflectUtils,newReturnInstance,Complex Method,Cyclomatic complexity of the method is 10,230
shamanland_xdroid,xdroid.core,ParcelUtils,readParcelableOrSerializable,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@aeb8ee2,33
shamanland_xdroid,xdroid.inflater,AbstractInflater,inflateRec,Long Statement,The length of the statement "while (((type=parser.next()) != XmlPullParser.END_TAG || parser.getDepth() > depth) && type != XmlPullParser.END_DOCUMENT) {" is 124.,58
shamanland_xdroid,xdroid.app,ActivityListeners,add,Magic Number,The method contains a magic number: 2,17
shamanland_xdroid,xdroid.app,ActivityListeners,add,Magic Number,The method contains a magic number: 2,25
shamanland_xdroid,xdroid.widget,HorizontalSpinner,onFinishInflate,Long Statement,The length of the statement "mScrollView.addView(mLinearLayout`new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT`ViewGroup.LayoutParams.WRAP_CONTENT));" is 135.,110
shamanland_xdroid,xdroid.widget,HorizontalSpinner,onFinishInflate,Long Statement,The length of the statement "addView(mScrollView`new ViewGroup.LayoutParams(ViewGroup.LayoutParams.MATCH_PARENT`ViewGroup.LayoutParams.WRAP_CONTENT));" is 121.,110
shamanland_xdroid,xdroid.widget,HorizontalSpinner,updateCurrentView,Long Statement,The length of the statement "addView(mCurrentView`new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT`ViewGroup.LayoutParams.WRAP_CONTENT));" is 122.,229
shamanland_xdroid,xdroid.adapter,CursorAdapterX,newView,Long Statement,The length of the statement "V result=(V)LayoutInflater.from(notNull(parent.getContext())).inflate(mLayoutId.get(getItemViewType(cursor.getPosition()))`parent`false);" is 137.,75
