Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android,AbstractEmulatorMojo,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OS_NAME
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android,AndroidNdk,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROPER_NDK_HOME_DIRECTORY_MESSAGE; NDK_ARCHITECTURES; ARM_TOOLCHAIN; ARM64_TOOLCHAIN; X86_TOOLCHAIN; X86_64_TOOLCHAIN; MIPS_TOOLCHAIN; MIPS64_TOOLCHAIN
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android,AbstractAndroidMojo,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUPPORTED_PACKAGING_TYPES; ENV_ANDROID_NDK_HOME; ENV_ANDROID_HOME
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android,AbstractAndroidMojo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.resource,XpathAppendingTransformer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: XSI_NS
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.compiler,JackCompiler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JACK_COMPILER_ID
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.phase01generatesources,GenerateSourcesMojo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.phase01generatesources,GetPackageCompareMapTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROJECT_ARTIFACT_ID; PROJECT_PACKAGE_NAME; COM_JAYWAY_MAVEN_LIBRARY_PACKAGE; COM_JAYWAY_MAVEN_LIBRARY2_PACKAGE; COM_JAYWAY_MAVEN_LIBRARY3_PACKAGE; LIBRARY1_ARTIFACT; LIBRARY2_ARTIFACT; LIBRARY3_ARTIFACT; TEST_DATA_1; TEST_DATA_2
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,AndroidExtension,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APK; APKLIB; AAR; APKSOURCES
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,ArtifactResolverHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXCLUDE_NON_PACKAGED_SCOPES
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,AaptCommandBuilder.AaptPackageCommandBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,AaptCommandBuilder.AaptDumpCommandBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,NativeHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NDK_REQUIRED_VERSION
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,Const,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NATIVE_HEADER_ARCHIVE; NATIVE_IMPLEMENTATION_ARCHIVE; NATIVE_SYMBOL_OBJECT
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,Const.ArtifactType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,Const.ArtifactType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NATIVE_HEADER_ARCHIVE; NATIVE_IMPLEMENTATION_ARCHIVE; NATIVE_SYMBOL_OBJECT
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.common,AndroidPublisherHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MIME_TYPE_APK; MIME_TYPE_IMAGE
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.phase09package,ApkMojo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.phase09package,AarMojo,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NATIVE_LIBRARIES_FOLDER; LIBRARIES_FOLDER
simpligility_android-maven-plugin,com.simpligility.maven.plugins.android.phase09package,ApklibMojo,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NATIVE_LIBRARIES_FOLDER
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Properties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Property,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Testcase,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Error,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Failure,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.RerunFailure,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,org.apache.maven.surefire,Testsuite.Skipped,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.tictactoe.library,GameView,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FPS_MS
simpligility_android-maven-plugin,com.example.android.tictactoe.library,GameActivity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTRA_START_PLAYER
simpligility_android-maven-plugin,com.simpligility.android.os,StrictModeWrapper.ThreadPolicyWrapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.android.os,StrictModeWrapper.BuilderWrapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.android.os,StrictModeWrapper.VmPolicyWrapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.simpligility.android.os,StrictModeWrapper.BuilderWrapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.graphics.kube,Cube,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: kBottom; kFront; kLeft; kRight; kBack; kTop
simpligility_android-maven-plugin,com.example.android.apis.graphics.kube,Layer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: kAxisX; kAxisY; kAxisZ
simpligility_android-maven-plugin,com.example.android.apis.preference,MyPreference,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
simpligility_android-maven-plugin,com.example.android.apis.preference,MyPreference.SavedState,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
simpligility_android-maven-plugin,com.example.android.apis.preference,FragmentPreferences.PrefsFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.preference,AdvancedPreferences,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEY_MY_PREFERENCE; KEY_ADVANCED_CHECKBOX_PREFERENCE
simpligility_android-maven-plugin,com.example.android.apis.preference,PreferenceWithHeaders.Prefs1Fragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.preference,PreferenceWithHeaders.Prefs1FragmentInner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.preference,PreferenceWithHeaders.Prefs2Fragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentListArray.ArrayListFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LocalSampleInstrumentation.ActivityRunnable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,IncomingMessageView,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEY_FROM; KEY_MESSAGE
simpligility_android-maven-plugin,com.example.android.apis.app,IsolatedService.Controller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentHideShow.FirstFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentHideShow.SecondFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentReceiveResult.ReceiveResultFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentArguments.MyFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,ServiceStartArguments.Controller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentDialogOrActivity.MyDialogFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentDialog.MyDialogFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCursor.CursorLoaderListFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderThrottle,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AUTHORITY; TABLE_NAME; CONTENT_URI; CONTENT_ID_URI_BASE; CONTENT_TYPE; CONTENT_ITEM_TYPE; DEFAULT_SORT_ORDER; COLUMN_NAME_DATA
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderThrottle.MainTable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderThrottle.MainTable,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TABLE_NAME; CONTENT_URI; CONTENT_ID_URI_BASE; CONTENT_TYPE; CONTENT_ITEM_TYPE; DEFAULT_SORT_ORDER; COLUMN_NAME_DATA
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderThrottle.SimpleProvider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderThrottle.ThrottledLoaderListFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentAlertDialog.MyAlertDialogFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentContextMenu.ContextMenuFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,ActionBarSettingsActionProviderActivity.SettingsActionProvider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,RemoteService.Controller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,RemoteService.Binding,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,RemoteService.BindingOptions,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderRetained.CursorLoaderListFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentMenu.MenuFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentMenu.Menu2Fragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.AdminSampleFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.GeneralFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.QualityFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.ExpirationFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.LockWipeFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.EncryptionFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,DeviceAdminSample.DeviceAdminSampleReceiver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentRetainInstance.UiFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentRetainInstance.RetainedFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,MessengerServiceActivities.Binding,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LocalServiceActivities.Controller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LocalServiceActivities.Binding,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,ForegroundService.Controller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALPHA_COMPARATOR
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.AppEntry,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.InterestingConfigChanges,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.PackageIntentReceiver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.AppListLoader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.AppListAdapter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,LoaderCustom.AppListFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentTabs.TabListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentStack.CountingFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentCustomAnimations.CountingFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentLayout.DetailsActivity,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentLayout.TitlesFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis.app,FragmentLayout.DetailsFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
simpligility_android-maven-plugin,com.example.android.apis,Shakespeare,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TITLES; DIALOGUE
simpligility_android-maven-plugin,com.example.android.apis.view,ContentBrowserActivity.Content,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
