Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
smola_galimatias,io.mola.galimatias.canonicalize,StripPartCanonicalizer,StripPartCanonicalizer,3,1,1,40,0,,
smola_galimatias,io.mola.galimatias.canonicalize,StripPartCanonicalizer,canonicalize,0,7,1,44,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizer,RegexCanonicalizer,5,1,3,43,0,,
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizer,canonicalize,0,6,1,49,0,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.Host
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,canonicalize,18,6,1,30,0,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.BaseURLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,isUnreserved,3,1,1,60,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,isSubdelim,3,1,1,64,0,,
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,isPChar,3,1,1,68,0,io.mola.galimatias.canonicalize.RFC3986Canonicalizer,io.mola.galimatias.canonicalize.RFC3986Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,isUserInfo,3,1,1,73,0,io.mola.galimatias.canonicalize.RFC3986Canonicalizer,io.mola.galimatias.canonicalize.RFC3986Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,test,3,1,1,79,0,io.mola.galimatias.canonicalize.RFC3986Canonicalizer,io.mola.galimatias.canonicalize.RFC3986Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,test,3,1,1,86,0,io.mola.galimatias.canonicalize.RFC3986Canonicalizer,io.mola.galimatias.canonicalize.RFC3986Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,test,3,1,1,93,0,io.mola.galimatias.canonicalize.RFC3986Canonicalizer,io.mola.galimatias.canonicalize.RFC3986Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,URLCanonicalizer,canonicalize,0,1,1,29,0,,
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,canonicalize,18,6,1,31,0,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.BaseURLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isMark,3,1,1,61,0,,
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isUnreserved,3,1,1,65,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils; io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isReserved,3,1,1,69,0,,
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isPChar,3,1,1,73,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isUric,3,1,1,78,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,isUserInfo,3,1,1,82,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,test,3,1,1,88,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,test,3,1,1,95,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,test,3,1,1,102,0,io.mola.galimatias.canonicalize.RFC2396Canonicalizer,io.mola.galimatias.canonicalize.RFC2396Canonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,CombinedCanonicalizer,CombinedCanonicalizer,11,3,1,34,0,,
smola_galimatias,io.mola.galimatias.canonicalize,CombinedCanonicalizer,canonicalize,7,2,1,45,0,io.mola.galimatias.canonicalize.URLCanonicalizer,io.mola.galimatias.canonicalize.URLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,CharacterPredicate,test,0,1,1,25,0,,
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizer,canonicalize,10,3,1,30,0,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.DecodeUnreservedCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizer,decodeUnreserved,23,5,1,47,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils
smola_galimatias,io.mola.galimatias.canonicalize,BaseURLCanonicalizer,canonicalize,18,4,2,30,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils; io.mola.galimatias.canonicalize.CharacterPredicate
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizerTest,test,5,1,0,37,1,io.mola.galimatias.canonicalize.URLCanonicalizer,io.mola.galimatias.canonicalize.URLCanonicalizer; io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizerTest,test,6,2,0,38,1,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.URLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizerTest,idempotence,9,1,1,53,0,io.mola.galimatias.canonicalize.URLCanonicalizer,io.mola.galimatias.canonicalize.URLCanonicalizer; io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986CanonicalizerTest,test,6,2,0,38,1,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.URLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986CanonicalizerTest,idempotence,9,1,1,51,0,io.mola.galimatias.canonicalize.URLCanonicalizer,io.mola.galimatias.canonicalize.URLCanonicalizer; io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396CanonicalizerTest,test,6,2,0,38,1,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.canonicalize.URLCanonicalizer
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396CanonicalizerTest,idempotence,9,1,1,51,0,io.mola.galimatias.canonicalize.URLCanonicalizer,io.mola.galimatias.canonicalize.URLCanonicalizer; io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URLSearchParameters,URLSearchParameters,8,2,1,35,0,io.mola.galimatias.FormURLEncodedParser,io.mola.galimatias.FormURLEncodedParser
smola_galimatias,io.mola.galimatias,URLSearchParameters,URLSearchParameters,6,2,1,43,0,,
smola_galimatias,io.mola.galimatias,URLSearchParameters,withAppended,9,3,2,50,0,io.mola.galimatias.URLSearchParameters,io.mola.galimatias.URLSearchParameters
smola_galimatias,io.mola.galimatias,URLSearchParameters,withAppended,11,3,1,60,0,,
smola_galimatias,io.mola.galimatias,URLSearchParameters,with,9,3,2,72,0,io.mola.galimatias.URLSearchParameters,io.mola.galimatias.URLSearchParameters
smola_galimatias,io.mola.galimatias,URLSearchParameters,with,14,4,1,82,0,io.mola.galimatias.NameValue,io.mola.galimatias.NameValue
smola_galimatias,io.mola.galimatias,URLSearchParameters,without,12,4,1,97,0,io.mola.galimatias.NameValue,io.mola.galimatias.NameValue
smola_galimatias,io.mola.galimatias,URLSearchParameters,get,11,4,1,110,0,io.mola.galimatias.NameValue,io.mola.galimatias.NameValue
smola_galimatias,io.mola.galimatias,URLSearchParameters,getAll,12,4,1,122,0,io.mola.galimatias.NameValue,io.mola.galimatias.NameValue
smola_galimatias,io.mola.galimatias,URLSearchParameters,has,11,4,1,135,0,io.mola.galimatias.NameValue,io.mola.galimatias.NameValue
smola_galimatias,io.mola.galimatias,URLSearchParameters,iterator,3,1,0,147,0,,
smola_galimatias,io.mola.galimatias,URLSearchParameters,equals,7,4,1,152,0,,
smola_galimatias,io.mola.galimatias,URLSearchParameters,hashCode,3,1,0,164,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,IPv6Address,3,1,1,37,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,parseIPv6Address,138,31,1,41,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils
smola_galimatias,io.mola.galimatias,IPv6Address,toInetAddress,13,2,0,224,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,fromInet6Address,8,2,1,244,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,toString,44,12,0,259,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,toHostString,3,1,0,334,0,io.mola.galimatias.IPv6Address,io.mola.galimatias.IPv6Address
smola_galimatias,io.mola.galimatias,IPv6Address,equals,6,3,1,345,0,,
smola_galimatias,io.mola.galimatias,IPv6Address,hashCode,3,1,0,355,0,,
smola_galimatias,io.mola.galimatias,ErrorHandler,error,0,1,1,29,0,,
smola_galimatias,io.mola.galimatias,ErrorHandler,fatalError,0,1,1,31,0,,
smola_galimatias,io.mola.galimatias,URL,URL,3,1,10,52,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,URL,24,3,10,62,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,scheme,3,1,0,92,0,,
smola_galimatias,io.mola.galimatias,URL,schemeData,3,1,0,96,0,,
smola_galimatias,io.mola.galimatias,URL,username,3,1,0,100,0,,
smola_galimatias,io.mola.galimatias,URL,password,3,1,0,104,0,,
smola_galimatias,io.mola.galimatias,URL,userInfo,6,2,0,108,0,,
smola_galimatias,io.mola.galimatias,URL,host,3,1,0,122,0,,
smola_galimatias,io.mola.galimatias,URL,authority,18,5,0,126,0,io.mola.galimatias.URL,io.mola.galimatias.URL; io.mola.galimatias.Host
smola_galimatias,io.mola.galimatias,URL,port,3,1,0,145,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,defaultPort,7,2,1,149,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils
smola_galimatias,io.mola.galimatias,URL,defaultPort,3,1,0,157,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,path,3,1,0,161,0,,
smola_galimatias,io.mola.galimatias,URL,pathSegments,6,2,0,165,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,query,3,1,0,172,0,,
smola_galimatias,io.mola.galimatias,URL,queryParameter,31,8,1,176,0,,
smola_galimatias,io.mola.galimatias,URL,queryParameters,34,8,1,215,0,,
smola_galimatias,io.mola.galimatias,URL,searchParameters,3,1,0,254,0,,
smola_galimatias,io.mola.galimatias,URL,fragment,3,1,0,258,0,,
smola_galimatias,io.mola.galimatias,URL,file,13,4,0,262,0,,
smola_galimatias,io.mola.galimatias,URL,isHierarchical,3,1,0,279,0,,
smola_galimatias,io.mola.galimatias,URL,isOpaque,3,1,0,294,0,,
smola_galimatias,io.mola.galimatias,URL,pathSegmentsToString,13,4,1,301,0,,
smola_galimatias,io.mola.galimatias,URL,pathStringToSegments,16,4,1,315,0,,
smola_galimatias,io.mola.galimatias,URL,resolve,3,1,1,332,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,relativize,29,9,1,353,0,io.mola.galimatias.URL,io.mola.galimatias.URL
smola_galimatias,io.mola.galimatias,URL,parse,3,1,1,394,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,parse,3,1,2,405,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,parse,3,1,2,409,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,parse,3,1,3,413,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,buildHierarchical,6,2,2,417,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils; io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,buildFile,3,1,0,432,0,io.mola.galimatias.URLParser,io.mola.galimatias.URLParser
smola_galimatias,io.mola.galimatias,URL,buildOpaque,6,2,1,442,0,io.mola.galimatias.URLUtils,io.mola.galimatias.URLUtils; io.mola.galimatias.URLParser
