Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
smola_galimatias,io.mola.galimatias.canonicalize,StripPartCanonicalizer,1,0,2,2,0,8,0,1,0.0,0,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/StripPartCanonicalizer.java,27
smola_galimatias,io.mola.galimatias.canonicalize,StripPartCanonicalizer.Part,0,0,0,0,1,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/StripPartCanonicalizer.java,29
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizer,3,0,2,2,0,7,0,1,0.0,1,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/RegexCanonicalizer.java,29
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizer.Scope,0,0,0,0,1,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/RegexCanonicalizer.java,31
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986Canonicalizer,3,0,8,4,50,13,0,2,0.25,2,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/RFC3986Canonicalizer.java,28
smola_galimatias,io.mola.galimatias.canonicalize,URLCanonicalizer,0,0,1,1,3,1,5,0,-1.0,5,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/URLCanonicalizer.java,27
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396Canonicalizer,3,0,10,4,56,15,0,2,0.2,3,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/RFC2396Canonicalizer.java,29
smola_galimatias,io.mola.galimatias.canonicalize,CombinedCanonicalizer,1,0,2,2,21,5,0,1,0.0,0,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/CombinedCanonicalizer.java,30
smola_galimatias,io.mola.galimatias.canonicalize,CharacterPredicate,0,0,1,0,3,1,0,0,-1.0,3,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/CharacterPredicate.java,24
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizer,0,0,2,1,35,8,0,1,-1.0,1,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/DecodeUnreservedCanonicalizer.java,28
smola_galimatias,io.mola.galimatias.canonicalize,BaseURLCanonicalizer,0,0,1,0,20,4,2,1,-1.0,2,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/canonicalize/BaseURLCanonicalizer.java,28
smola_galimatias,io.mola.galimatias.canonicalize,RegexCanonicalizerTest,0,0,1,1,7,1,0,0,-1.0,0,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/canonicalize/RegexCanonicalizerTest.java,34
smola_galimatias,io.mola.galimatias.canonicalize,DecodeUnreservedCanonicalizerTest,0,0,2,2,17,3,0,0,-1.0,0,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/canonicalize/DecodeUnreservedCanonicalizerTest.java,35
smola_galimatias,io.mola.galimatias.canonicalize,RFC3986CanonicalizerTest,0,0,2,2,17,3,0,0,-1.0,0,6,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/canonicalize/RFC3986CanonicalizerTest.java,35
smola_galimatias,io.mola.galimatias.canonicalize,RFC2396CanonicalizerTest,0,0,2,2,17,3,0,0,-1.0,0,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/canonicalize/RFC2396CanonicalizerTest.java,35
smola_galimatias,io.mola.galimatias,URLSearchParameters,2,0,13,11,120,39,0,0,0.0,2,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLSearchParameters.java,29
smola_galimatias,io.mola.galimatias,IPv6Address,2,0,8,7,241,53,0,1,0.375,4,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/IPv6Address.java,31
smola_galimatias,io.mola.galimatias,ErrorHandler,0,0,2,2,7,2,3,0,-1.0,4,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/ErrorHandler.java,24
smola_galimatias,io.mola.galimatias,URL,11,0,50,45,583,134,0,0,0.18,19,6,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URL.java,32
smola_galimatias,io.mola.galimatias,IPv4Address,2,0,8,6,106,23,0,1,0.375,2,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/IPv4Address.java,29
smola_galimatias,io.mola.galimatias,URLParser,10,0,28,6,748,168,0,0,0.0,3,6,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLParser.java,30
smola_galimatias,io.mola.galimatias,URLParser.ParseURLState,0,0,0,0,4,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLParser.java,69
smola_galimatias,io.mola.galimatias,URLParser.EncodeSet,0,0,0,0,1,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLParser.java,883
smola_galimatias,io.mola.galimatias,URLParsingSettings,2,0,5,3,22,5,0,0,0.8,7,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLParsingSettings.java,24
smola_galimatias,io.mola.galimatias,ParseIssue,0,0,0,0,4,0,0,0,-1.0,5,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/ParseIssue.java,24
smola_galimatias,io.mola.galimatias,Domain,3,0,10,8,183,51,0,1,0.0,4,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/Domain.java,30
smola_galimatias,io.mola.galimatias,StrictErrorHandler,1,0,4,3,16,4,0,1,1.0,2,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/StrictErrorHandler.java,24
smola_galimatias,io.mola.galimatias,NameValue,2,0,6,6,38,10,0,0,0.0,6,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/NameValue.java,25
smola_galimatias,io.mola.galimatias,DefaultErrorHandler,1,0,4,3,15,4,0,1,1.0,2,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/DefaultErrorHandler.java,24
smola_galimatias,io.mola.galimatias,GalimatiasParseException,6,0,7,2,62,8,0,0,0.42857142857142855,32,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/GalimatiasParseException.java,24
smola_galimatias,io.mola.galimatias,GalimatiasParseException.Builder,4,0,0,0,27,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/GalimatiasParseException.java,73
smola_galimatias,io.mola.galimatias,URLUtils,4,1,19,14,0,52,0,0,0.3157894736842105,12,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/URLUtils.java,32
smola_galimatias,io.mola.galimatias,Host,0,0,4,4,50,8,3,0,-1.0,5,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/Host.java,26
smola_galimatias,io.mola.galimatias,FormURLEncodedParser,1,0,10,7,153,28,0,0,0.5,2,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/FormURLEncodedParser.java,29
smola_galimatias,io.mola.galimatias,BadURLTest,1,1,15,15,89,19,0,0,0.6,0,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/BadURLTest.java,34
smola_galimatias,io.mola.galimatias,URL2Test,0,0,66,66,496,66,0,0,-1.0,0,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/URL2Test.java,26
smola_galimatias,io.mola.galimatias,TestURLLoader,1,0,2,1,142,24,0,0,0.0,0,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/TestURLLoader.java,32
smola_galimatias,io.mola.galimatias,URLTest,2,1,46,45,310,50,0,0,0.6739130434782609,0,7,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/URLTest.java,39
smola_galimatias,io.mola.galimatias,GalimatiasParseExceptionTest,0,0,6,6,40,6,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/GalimatiasParseExceptionTest.java,28
smola_galimatias,io.mola.galimatias,NameValueTest,1,0,4,4,34,5,0,0,1.0,0,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/NameValueTest.java,36
smola_galimatias,io.mola.galimatias,DomainTest,0,0,5,5,24,5,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/DomainTest.java,30
smola_galimatias,io.mola.galimatias,FormURLEncodedParserTest,0,0,2,2,46,2,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/FormURLEncodedParserTest.java,33
smola_galimatias,io.mola.galimatias,TestURL,7,6,1,1,30,1,0,0,0.0,8,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/TestURL.java,36
smola_galimatias,io.mola.galimatias,TestURL.DATASETS,2,2,0,0,4,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/TestURL.java,49
smola_galimatias,io.mola.galimatias,TestURL.TestURLSupplier,1,0,0,0,15,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/TestURL.java,60
smola_galimatias,io.mola.galimatias,IPv6AddressTest,2,0,20,20,89,24,0,0,0.9,0,2,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/IPv6AddressTest.java,36
smola_galimatias,io.mola.galimatias,HostTest,0,0,4,4,15,4,0,0,-1.0,0,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/HostTest.java,30
smola_galimatias,io.mola.galimatias,ParseIssueTest,5,0,5,5,40,6,0,0,0.4,0,4,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/ParseIssueTest.java,35
smola_galimatias,io.mola.galimatias,URLSearchParamsTest,1,1,10,10,191,12,0,0,1.0,0,5,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/URLSearchParamsTest.java,43
smola_galimatias,io.mola.galimatias,IPv4AddressTest,2,0,12,12,56,14,0,0,0.9166666666666666,0,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/IPv4AddressTest.java,36
smola_galimatias,io.mola.galimatias.cli,CLI,1,0,3,1,132,18,0,0,0.0,1,6,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/cli/CLI.java,31
smola_galimatias,io.mola.galimatias.cli,CLI.PrintErrorHandler,0,0,0,0,11,0,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/main/java/io/mola/galimatias/cli/CLI.java,74
smola_galimatias,io.mola.galimatias.cli,CLITest,0,0,1,1,5,1,0,0,-1.0,0,3,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/cli/CLITest.java,30
smola_galimatias,io.mola.galimatias.theories,FooOrEmptyOrNullStringSupplier,0,0,1,1,11,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/theories/FooOrEmptyOrNullStringSupplier.java,31
smola_galimatias,io.mola.galimatias.theories,FooOrNullStringSupplier,0,0,1,1,11,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/theories/FooOrNullStringSupplier.java,31
smola_galimatias,io.mola.galimatias.theories,AnyUrlyStringSupplier,1,0,1,1,11,2,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/theories/AnyUrlyStringSupplier.java,31
smola_galimatias,io.mola.galimatias.theories,AnyNameValueSupplier,1,0,1,1,13,3,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/smola_galimatias/src/test/java/io/mola/galimatias/theories/AnyNameValueSupplier.java,32
