Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
snakerflow_snakerflow,test.nutz,TestNutz,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,(default package),TestSpring,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.reject,TestReject,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.transfer,TestTransfer,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task,TestExecution,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.take,TestTake,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.actor,TestActor,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.field,TestField,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.right,TestNotAllow,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.interceptor,TestLocalInterceptor,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.config,TestConfig,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.model,TestModel,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.group,TestGroup,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.resume,TestResume,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.assignmenthandler,TestAssignmentHandler,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.simple,TestSimple,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.task.aidant,TestAidant,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.subprocess,TestSubProcess1,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.subprocess,TestSubProcess2,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryProcess,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryCCOrder,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryOrder,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryHistTask,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryHistOrder,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestNativeQuery,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.query,TestQueryTask,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.time.expire,TestExpire,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.runner,TestScriptRunner,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.generator,TestGenerator,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.process,TestProcess,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.surrogate,TestSurrogate,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.concurrency.actorall,TestActorAll,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.concurrency.forkjoin,TestForkJoin,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.custom,TestCustomHandler,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.custom,TestCustomClass,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.cc,TestCC,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.decision.condition,TestDecision2,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.decision.handler,TestDecision3,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.decision.expression,TestDecision1,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
snakerflow_snakerflow,test.freeflow,TestFreeFlow,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
