Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sneerteam_sneer,sneer.crypto.impl,Hashes,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.crypto.impl,RandomWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.crypto.impl,PrivateKeyImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,PartnerSession.Listener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,PartnerSession.FromSneerHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: session
sneerteam_sneer,sneer.android,PartnerSession.FromSneerHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,SneerBoot,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,SneerBoot,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TIMER_TAG; SECONDS_TIMEOUT
sneerteam_sneer,sneer.android,SneerApp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android,ReferrerReceiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.impl,Envelope,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.impl,Envelope,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: content; CREATOR
sneerteam_sneer,sneer.android.impl,IPCProtocol,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SEND_MESSAGE; JOIN_SESSION; ENVELOPE; UP_TO_DATE; IS_OWN; PAYLOAD
sneerteam_sneer,sneer.android.impl,IPCProtocol,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SEND_MESSAGE; JOIN_SESSION; ENVELOPE; UP_TO_DATE; IS_OWN; PAYLOAD
sneerteam_sneer,sneer.android.impl,SneerAndroidImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: context; sneerAdmin; error; errorDialog
sneerteam_sneer,sneer.android.impl,SneerAndroidImpl,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SneerAndroidImpl; AndroidUtils
sneerteam_sneer,sneer.android.ui,Notifier,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Notifier; ConvosActivity
sneerteam_sneer,sneer.android.ui,SneerActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ui,SneerActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TO_BITMAP; EVERY_MINUTE
sneerteam_sneer,sneer.android.ui,SneerActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
sneerteam_sneer,sneer.android.ui,StartPluginDialogFragment.SingleConvoProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ui,ContactActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ui,AcceptInviteActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ui,AcceptInviteActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: REFERRER_CODE; nicknameEdit; btnDone; nickname; convos; inviteCode
sneerteam_sneer,sneer.android.ui,ConvoActivity,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 33 methods
sneerteam_sneer,sneer.android.ui,ConvoActivity.ViewPagerAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: pageList; pageTitleList
sneerteam_sneer,sneer.android.ui,ConvoActivity.ViewPagerAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ui,SneerActionBarActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TO_BITMAP; EVERY_MINUTE
sneerteam_sneer,sneer.android.ui,SneerActionBarActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
sneerteam_sneer,sneer.android.ipc,PartnerSessions,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TOKEN; TAG; sessionId; toApp; connectionPending
sneerteam_sneer,sneer.android.ipc,PartnerSessions.SessionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sessionId; toApp; connectionPending
sneerteam_sneer,sneer.android.ipc,PartnerSessions.SessionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sneerteam_sneer,sneer.android.ipc,PluginActivities,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SEARCH_SNEER_APPS_URL
sneerteam_sneer,sneer.android.ipc,Plugins,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: appType
sneerteam_sneer,sneer.android.ipc,Plugins.AppType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sneerteam_sneer,sneer.android.ipc,Plugins.AppType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
