Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.filebrowsing,MediaBrowser,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MediaBrowser; MainActivity
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.filebrowsing,MediaBrowser.FileComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.filebrowsing,MediaBrowser.FileComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.GUI,TimeTracker.TimerTaskUpdater,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.GUI,TimeTracker.TimerTaskUpdater,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.GUI,AudioSubtitleTrackDialog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CHOOSE_SUBTITLE_TRACK; CHOOSE_AUDIO_TRACK; mContext; levelDialog
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.GUI,OnResumePlaybackDialog,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,MainActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MediaBrowser; MainActivity
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,MainActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,MainActivity.OwnOnSeekBarChangeListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: progressFromUser; mCurrentMediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,MainActivity.OwnOnSeekBarChangeListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,PlayerConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEBUG
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer,PlayerConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,Util,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SDK_INT
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGS_ENABLED; MSG_RENDER_TEXT; MSG_RENDER_NOTHING; FIFTY_MS; TAG; mTextView; mTtmlParser; mBaseTimeMs; mSubtitleIndex; mCurrentTimeMs; mStringsAtTimes; mCurrentText; mSeekList; mHandler; mRenderer; mHandlerThread; mRenderThread; mMediaPlayer; timeMs; position
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.TimeAndPosition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: timeMs; position
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.TimeAndPosition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.TimeAndPosition,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: timeMs; position
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.EventHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.EventHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.RenderHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleRenderer.RenderHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,SubtitleParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles,MimeTypes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BASE_TYPE_VIDEO; BASE_TYPE_AUDIO; BASE_TYPE_TEXT; BASE_TYPE_APPLICATION; VIDEO_MP4; VIDEO_WEBM; VIDEO_H264; VIDEO_VP9; AUDIO_MP4; AUDIO_AAC; TEXT_VTT; APPLICATION_TTML
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles.ttml,TtmlNode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UNDEFINED_TIME; TAG_TT; TAG_HEAD; TAG_BODY; TAG_DIV; TAG_P; TAG_SPAN; TAG_BR; TAG_STYLE; TAG_STYLING; TAG_LAYOUT; TAG_REGION; TAG_METADATA; TAG_SMPTE_IMAGE; TAG_SMPTE_DATA; TAG_SMPTE_INFORMATION; tag; isTextNode; text; startTimeUs; endTimeUs; children
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media.testmediaplayer.subtitles.ttml,TtmlData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because getState is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setVideoScalingMode is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setDataSource is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setDataSource is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setDataSource is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setDataSourceFdWithOffset is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because play is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because pause is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because selectTrack is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because deselectTrack is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setOnCompletionListener is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because setAudioSessionId is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Feature Envy,The tool detected a instance of this smell because getAudioSessionId is more interested in members of the type: MediaPlayer
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 79 public methods
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest.MockRepresentationSelector,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mRepresentation
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTest.MockRepresentationSelector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,MultipleContentTestRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,ApiTestCase,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 61 public methods
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,TestContentProvider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEY_CONTENT; KEY_CONTENT_URI; KEY_WIDTH; KEY_HEIGHT; KEY_ROTATION; KEY_DURATION; KEY_FRAMERATE; KEY_BITRATE; KEY_SUBTITLE_DATA_LENGTH; KEY_SUBTITLE_LENGTH_INTERVAL; KEY_TRACK_COUNT; KEY_SUBTITLE_TRACK; KEY_ID; KEY_MAX_I_FRAME_INTERVAL; KEY_HEADER_OFFSET; KEY_FILE_LENGTH; KEY_TRACK_MIME_TYPE_VIDEO; KEY_TRACK_MIME_TYPE_AUDIO; KEY_MIME_TYPE; KEY_CONTENT_TYPE; KEY_PROTOCOL_TYPE; KEY_METADATA_TITLE; KEY_METADATA_ALBUM; KEY_METADATA_ARTIST; KEY_METADATA_ALBUMARTIST; KEY_METADATA_GENRE; KEY_METADATA_TRACKNUMBER; KEY_METADATA_COMPILATION; KEY_METADATA_AUTHOR; KEY_METADATA_COMPOSER; KEY_METADATA_NUMBERTRACKS; KEY_METADATA_WRITER; KEY_METADATA_DISCNUMBER; KEY_METADATA_YEAR; KEY_METADATA_ALBUMART; KEY_METADATA_SONY_MOBILE_CAMERA_CONTENT_FLAG; PATH_TO_TESTFILE; TAG; mContents; mContext
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,Configuration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ALLOWED_TIME_DISCREPANCY_MS
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,Configuration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALLOWED_TIME_DISCREPANCY_MS
sonyxperiadev_MultimediaForAndroidLibrary,com.sonymobile.android.media,TestHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
