Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
spearal_spearal-java,org.spearal,Spearal,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,Spearal,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATION_SPEARAL; PROPERTY_FILTER_HEADER
spearal_spearal-java,org.spearal,SpearalPrinter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value; index; reference
spearal_spearal-java,org.spearal,SpearalPrinter.StringData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value; index; reference
spearal_spearal-java,org.spearal,SpearalPrinter.StringData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalPrinter.StringData,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value; index; reference
spearal_spearal-java,org.spearal,DefaultSpearalFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.Path,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.PathSegment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.CollectionPathSegment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.ArrayPathSegment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.MapPathSegment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal,SpearalDecoder.BeanPathSegment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.filter,SpearalPropertyFilterBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PartialObjectFactory.PartialObjectProxy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PartialObjectFactory.ExtendedPartialObjectProxy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PartialObjectFactory.UndefinedPropertyException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
spearal_spearal-java,org.spearal.configuration,PartialObjectFactory.UndefinedPropertyException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PropertyFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PropertyFactory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ZERO_PROPERTIES
spearal_spearal-java,org.spearal.configuration,PropertyFactory.Property,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,ConverterProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,ConverterProvider.Converter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,CoderProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,CoderProvider.Coder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,FilteredBeanDescriptorFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,FilteredBeanDescriptorFactory.FilteredBeanDescriptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PropertyInstantiatorProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,PropertyInstantiatorProvider.PropertyInstantiator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,TypeInstantiatorProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,TypeInstantiatorProvider.TypeInstantiator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spearal_spearal-java,org.spearal.configuration,UnfilterablePropertiesProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
