Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
spearal_spearal-java,org.spearal,Spearal,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APPLICATION_SPEARAL; PROPERTY_FILTER_HEADER
spearal_spearal-java,org.spearal,SpearalPrinter.StringData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal,DefaultSpearalFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
spearal_spearal-java,org.spearal.configuration,PartialObjectFactory.UndefinedPropertyException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.configuration,PropertyFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ZERO_PROPERTIES
spearal_spearal-java,org.spearal.impl,SpearalDateTime,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UTC
spearal_spearal-java,org.spearal.impl,SpearalDecoderImpl.ClassNotFound,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.impl,SpearalDecoderImpl.CollectionPathSegmentImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.impl,SpearalDecoderImpl.ArrayPathSegmentImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.impl,SpearalDecoderImpl.MapPathSegmentImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.impl,SpearalDecoderImpl.BeanPathSegmentImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.impl,SpearalContextImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
spearal_spearal-java,org.spearal.impl.util,ServiceLoader.ServicesIterator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spearal_spearal-java,org.spearal.test,TestDateTime,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UTC
