Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spotify_docker-client,com.spotify.docker.client,DockerConfigReader,authForAllRegistries,Complex Conditional,The conditional expression !(hasAuths || hasCredHelpers || hasCredsStore) is complex.,108
spotify_docker-client,com.spotify.docker.client,DockerConfigReader,authForAllRegistries,Complex Method,Cyclomatic complexity of the method is 11,108
spotify_docker-client,com.spotify.docker.client,DockerConfigReader,authForAllRegistries,Empty catch clause,The method has an empty catch block.,108
spotify_docker-client,com.spotify.docker.client,DockerConfigReader,authForRegistry,Empty catch clause,The method has an empty catch block.,195
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,DefaultDockerClient,Long Statement,The length of the statement "final RequestConfig requestConfig=RequestConfig.custom().setConnectionRequestTimeout((int)builder.connectTimeoutMillis).setConnectTimeout((int)builder.connectTimeoutMillis).setSocketTimeout((int)builder.readTimeoutMillis).build();" is 230.,432
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,DefaultDockerClient,Long Statement,The length of the statement "final ClientConfig config=updateProxy(defaultConfig`builder).connectorProvider(new ApacheConnectorProvider()).property(ApacheClientProperties.CONNECTION_MANAGER`cm).property(ApacheClientProperties.REQUEST_CONFIG`requestConfig);" is 227.,432
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,DefaultDockerClient,Long Statement,The length of the statement "final RequestConfig noReadTimeoutRequestConfig=RequestConfig.copy(requestConfig).setSocketTimeout((int)NO_TIMEOUT).build();" is 123.,432
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,DefaultDockerClient,Long Statement,The length of the statement "this.noTimeoutClient=ClientBuilder.newBuilder().withConfig(config).property(ApacheClientProperties.CONNECTION_MANAGER`noTimeoutCm).property(ApacheClientProperties.REQUEST_CONFIG`noReadTimeoutRequestConfig).build();" is 214.,432
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,updateProxy,Complex Method,Cyclomatic complexity of the method is 9,498
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,updateProxy,Long Statement,The length of the statement "config.property(ClientProperties.PROXY_URI`(!proxyHost.startsWith("http") ? "http://" : "") + proxyHost + ":"+ proxyPort);" is 122.,498
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,getSchemeRegistry,Long Statement,The length of the statement "https=new SSLConnectionSocketFactory(builder.dockerCertificatesStore.sslContext()`builder.dockerCertificatesStore.hostnameVerifier());" is 134.,560
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,getSchemeRegistry,Long Statement,The length of the statement "final RegistryBuilder<ConnectionSocketFactory> registryBuilder=RegistryBuilder.<ConnectionSocketFactory>create().register("https"`https).register("http"`PlainConnectionSocketFactory.getSocketFactory());" is 202.,560
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,auth,Long Statement,The length of the statement "final Response response=request(POST`Response.class`resource`resource.request(APPLICATION_JSON_TYPE)`Entity.json(registryAuth));" is 128.,603
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,listContainers,Magic Number,The method contains a magic number: 400,618
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,listContainers,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@77f6d718,618
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,createContainer,Magic Number,The method contains a magic number: 404,727
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,createContainer,Magic Number,The method contains a magic number: 406,727
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,createContainer,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@c3030ec,727
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,containerAction,Magic Number,The method contains a magic number: 404,771
spotify_docker-client,com.spotify.docker.client,DefaultDockerClient,containerAction,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@628f9943,771
