Project Name,Package Name,Architecture Smell,Cause of the Smell
spotify_helios,com.spotify.helios.common,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.spotify.helios.common; com.spotify.helios.common.descriptors
spotify_helios,com.spotify.helios.common,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SystemClock; Clock]; [Json; Hash; JobValidatorTest; JsonTest; JobValidator]; [VersionCompatibility; VersionCheckResponse; PomVersion; PomVersionTest; VersionCompatibilityTest]; [VersionCompatibility.Status]; [Resolver; PeriodicResolver; ResolverTest; PeriodicResolverTest]; [LoggingConfig]; [HeliosException]; [HeliosRuntimeException]; [JsonTest.Foo]; [JsonTest.Bar]; [JsonTest.SomePojo]; [Version]. LCC (Lack of Component Cohesion) = 0.5
spotify_helios,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.38. All the dependencies among components: from: com.spotify.helios.common to: com.spotify.helios.common.descriptors; from: com.spotify.helios.common.protocol to: com.spotify.helios.common; from: com.spotify.helios.common.protocol to: com.spotify.helios.common.descriptors; from: com.spotify.helios.common.descriptors to: com.spotify.helios.common; from: com.spotify.helios.client to: com.spotify.helios.common; from: com.spotify.helios.client to: com.spotify.helios.common.descriptors; from: com.spotify.helios to: com.spotify.helios.serviceregistration; from: com.spotify.helios to: com.spotify.helios.common.descriptors; from: com.spotify.helios to: com.spotify.helios.master; from: com.spotify.helios to: com.spotify.helios.servicescommon; from: com.spotify.helios to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios to: com.spotify.helios.client; from: com.spotify.helios to: com.spotify.helios.cli; from: com.spotify.helios to: com.spotify.helios.common; from: com.spotify.helios to: com.spotify.helios.testing; from: com.spotify.helios to: com.spotify.helios.common.protocol; from: com.spotify.helios.agent to: com.spotify.helios.common.descriptors; from: com.spotify.helios.agent to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.agent to: com.spotify.helios.servicescommon; from: com.spotify.helios.agent to: com.spotify.helios.serviceregistration; from: com.spotify.helios.agent to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.agent to: com.spotify.helios.common; from: com.spotify.helios.agent to: com.spotify.helios; from: com.spotify.helios.agent to: com.spotify.helios.master; from: com.spotify.helios.servicescommon to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.servicescommon to: com.spotify.helios.agent; from: com.spotify.helios.servicescommon to: com.spotify.helios.common; from: com.spotify.helios.servicescommon to: com.spotify.helios.common.descriptors; from: com.spotify.helios.servicescommon to: com.spotify.helios.serviceregistration; from: com.spotify.helios.servicescommon to: com.spotify.helios; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios.common.descriptors; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios.servicescommon; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios.agent; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios.common; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.servicescommon.coordination to: com.spotify.helios; from: com.spotify.helios.servicescommon.statistics to: com.spotify.helios.common; from: com.spotify.helios.servicescommon.statistics to: com.spotify.helios.servicescommon; from: com.spotify.helios.master to: com.spotify.helios.common.descriptors; from: com.spotify.helios.master to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.master to: com.spotify.helios.servicescommon; from: com.spotify.helios.master to: com.spotify.helios.common; from: com.spotify.helios.master to: com.spotify.helios.rollingupdate; from: com.spotify.helios.master to: com.spotify.helios.serviceregistration; from: com.spotify.helios.master to: com.spotify.helios.master.reaper; from: com.spotify.helios.master to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.master.resources to: com.spotify.helios.master; from: com.spotify.helios.master.resources to: com.spotify.helios.common.protocol; from: com.spotify.helios.master.resources to: com.spotify.helios.common.descriptors; from: com.spotify.helios.master.resources to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.master.resources to: com.spotify.helios.common; from: com.spotify.helios.master.http to: com.spotify.helios.common; from: com.spotify.helios.master.http to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.master.metrics to: com.spotify.helios.servicescommon.statistics; from: com.spotify.helios.master.reaper to: com.spotify.helios.common; from: com.spotify.helios.master.reaper to: com.spotify.helios.master; from: com.spotify.helios.master.reaper to: com.spotify.helios.common.descriptors; from: com.spotify.helios.master.reaper to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.rollingupdate to: com.spotify.helios.master; from: com.spotify.helios.rollingupdate to: com.spotify.helios.servicescommon; from: com.spotify.helios.rollingupdate to: com.spotify.helios.common.descriptors; from: com.spotify.helios.rollingupdate to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.system to: com.spotify.helios.common.descriptors; from: com.spotify.helios.system to: com.spotify.helios.common; from: com.spotify.helios.system to: com.spotify.helios; from: com.spotify.helios.system to: com.spotify.helios.common.protocol; from: com.spotify.helios.system to: com.spotify.helios.client; from: com.spotify.helios.system to: com.spotify.helios.master; from: com.spotify.helios.system to: com.spotify.helios.agent; from: com.spotify.helios.system to: com.spotify.helios.servicescommon.coordination; from: com.spotify.helios.system to: com.spotify.helios.serviceregistration; from: com.spotify.helios.system to: com.spotify.helios.cli; from: com.spotify.helios.system to: com.spotify.helios.servicescommon; from: com.spotify.helios.testing to: com.spotify.helios.common.descriptors; from: com.spotify.helios.testing to: com.spotify.helios.client; from: com.spotify.helios.testing to: com.spotify.helios.common; from: com.spotify.helios.testing to: com.spotify.helios.common.protocol; from: com.spotify.helios.testing to: com.spotify.helios.testing.descriptors; from: com.spotify.helios.cli to: com.spotify.helios.common.descriptors; from: com.spotify.helios.cli to: com.spotify.helios.client; from: com.spotify.helios.cli to: com.spotify.helios.common.protocol; from: com.spotify.helios.cli to: com.spotify.helios.common; from: com.spotify.helios.cli to: com.spotify.helios.cli.command; from: com.spotify.helios.cli.command to: com.spotify.helios.client; from: com.spotify.helios.cli.command to: com.spotify.helios.common.protocol; from: com.spotify.helios.cli.command to: com.spotify.helios.common.descriptors; from: com.spotify.helios.cli.command to: com.spotify.helios.cli; from: com.spotify.helios.cli.command to: com.spotify.helios.common.
spotify_helios,com.spotify.helios.common.protocol,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TaskStatusEvents]; [TaskStatusEvents.Status]; [VersionResponse]; [HostDeregisterResponse]; [HostDeregisterResponse.Status]; [SetGoalResponse]; [SetGoalResponse.Status]; [CreateDeploymentGroupResponse]; [CreateDeploymentGroupResponse.Status]; [RollingUpdateRequest]; [RemoveDeploymentGroupResponse]; [RemoveDeploymentGroupResponse.Status]; [JobUndeployResponse]; [JobUndeployResponse.Status]; [JobDeleteResponse]; [JobDeleteResponse.Status]; [HostRegisterResponse]; [HostRegisterResponse.Status]; [DeploymentGroupStatusResponse]; [DeploymentGroupStatusResponse.Status]; [DeploymentGroupStatusResponse.HostStatus]; [JobDeployResponse]; [JobDeployResponse.Status]; [RollingUpdateResponse]; [RollingUpdateResponse.Status]; [CreateJobResponse]; [CreateJobResponse.Status]. LCC (Lack of Component Cohesion) = 1.0
spotify_helios,com.spotify.helios.common.descriptors,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 68
spotify_helios,com.spotify.helios.common.descriptors,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.spotify.helios.common.descriptors; com.spotify.helios.common
spotify_helios,com.spotify.helios.common.descriptors,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.spotify.helios.common
spotify_helios,com.spotify.helios.common.descriptors,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RolloutTask; Descriptor; TaskStatus; TaskStatusTest; AgentInfo; HostStatus; HostStatus.Builder; HostInfo; HostSelector; HostSelectorTest; DeploymentGroupTest; DeploymentGroup; JobId; DeploymentGroupTasks; DeploymentGroupTasks.Builder; Job; Deployment; Deployment.Builder; Resources; RolloutOptions; TaskStatus.Builder; PortMappingTest; JobIdTest; JobIdHashIsStableTest; JobTest; RolloutOptionsTest; DeploymentGroup.Builder; DeploymentGroup.Parameters; JobStatus; JobStatus.Builder; Task; Goal; TcpHealthCheck; HealthCheck; Job.Builder; Job.Parameters; HttpHealthCheck; HealthCheckTest; JobIdParseException; ExecHealthCheck; DockerVersion; HostInfo.Builder; ThrottleState; PortMapping; TaskStatusEvent; ServiceEndpoint; DeploymentGroupStatus; DeploymentGroupStatus.Builder; ServicePortParameters; ServicePorts]; [RolloutTask.Action]; [RolloutTask.Status]; [RolloutTask.Builder]; [AgentInfo.Builder]; [HostSelector.BiPredicate]; [HostSelector.Operator]; [DeploymentGroup.RollingUpdateReason]; [HostStatus.Status]; [TcpHealthCheck.Builder]; [ExecHealthCheck.Builder]; [JobId.Builder]; [DockerVersion.Builder]; [PortMapping.Builder]; [HttpHealthCheck.Builder]; [ServiceEndpoint.Builder]; [DeploymentGroupStatus.State]; [RolloutOptions.Builder]; [TaskStatus.State]. LCC (Lack of Component Cohesion) = 0.28
spotify_helios,com.spotify.helios,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.spotify.helios; com.spotify.helios.servicescommon
spotify_helios,com.spotify.helios,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.spotify.helios; com.spotify.helios.master; com.spotify.helios.servicescommon.coordination
