Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
springer-opensource_omelet,omelet.driver,SuiteConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: suiteName
springer-opensource_omelet,omelet.driver,SuiteConfiguration,Law of Demeter violation,The tool detected the smell in this method (onStart) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.driver.Logo.getInstance; omelet.driver.Logo.printLogoAndVersion
springer-opensource_omelet,omelet.driver,DriverInitialization,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: omelet.testng.support.HtmlTable
springer-opensource_omelet,omelet.driver,DriverInitialization,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: outPutDir
springer-opensource_omelet,omelet.driver,DriverInitialization,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
springer-opensource_omelet,omelet.driver,DriverInitialization,Law of Demeter violation,The tool detected the smell in this method (addScreenShot) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.driver.Driver.getBrowserConf; omelet.data.driverconf.IBrowserConf.isScreenShotFlag
springer-opensource_omelet,omelet.driver,Driver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: omelet.driver.DriverFactory
springer-opensource_omelet,omelet.driver,DriverUtility,Law of Demeter violation,The tool detected the smell in this method (waitFor) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.driver.Driver.getBrowserConf; omelet.data.driverconf.IBrowserConf.getDriverTimeOut
springer-opensource_omelet,omelet.driver,DriverUtility,Law of Demeter violation,The tool detected the smell in this method (takeScreenShot) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.driver.Driver.getBrowserConf; omelet.data.driverconf.IBrowserConf.isRemoteFlag
springer-opensource_omelet,omelet.testng.support,SAssert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: m_errors; assertMap
springer-opensource_omelet,omelet.testng.support,SAssert,Law of Demeter violation,The tool detected the smell in this method (executeAssert) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.driver.Driver.getBrowserConf; omelet.data.driverconf.IBrowserConf.isScreenShotFlag
springer-opensource_omelet,omelet.testng.support,RetryIAnnotationTransformer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: omelet.data.MethodContext
springer-opensource_omelet,omelet.data,DataProvider,Law of Demeter violation,The tool detected the smell in this method (getData) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.testng.support.MethodContextCollection.getMethodContext; omelet.data.IMethodContext.getBrowserConf
springer-opensource_omelet,omelet.data,DataProvider,Law of Demeter violation,The tool detected the smell in this method (getData) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.testng.support.MethodContextCollection.getMethodContext; omelet.data.IMethodContext.getMethodTestData
springer-opensource_omelet,omelet.data,DataProvider,Law of Demeter violation,The tool detected the smell in this method (getData) because the method voilates the law of Demeter. The long chain of method invocations is : omelet.testng.support.MethodContextCollection.getMethodContext; omelet.data.IMethodContext.getRunStrategy
springer-opensource_omelet,omelet.data,ImplementIMap.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
springer-opensource_omelet,omelet.data,MethodContext,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: omelet.data.RefineMappedData; omelet.data.driverconf.PrepareDriverConf
