Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sualeh_magnetictrackparser,us.fatehi.magnetictrack,Track3,from,14,2,1,25,0,us.fatehi.magnetictrack.BaseTrackData,us.fatehi.magnetictrack.BaseTrackData
sualeh_magnetictrackparser,us.fatehi.magnetictrack,Track3,Track3,3,1,2,46,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,Track3,exceedsMaximumLength,3,1,0,50,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,from,6,1,1,24,0,us.fatehi.magnetictrack.Track1FormatB,us.fatehi.magnetictrack.Track1FormatB; us.fatehi.magnetictrack.Track2; us.fatehi.magnetictrack.Track3
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,BankCardMagneticTrack,6,1,4,42,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,exceedsMaximumLength,3,1,0,53,0,us.fatehi.magnetictrack.Track1FormatB,us.fatehi.magnetictrack.Track1FormatB; us.fatehi.magnetictrack.Track2; us.fatehi.magnetictrack.Track3
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,getTrack1,3,1,0,61,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,getTrack2,3,1,0,70,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,getTrack3,3,1,0,79,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,toBankCard,32,5,0,88,0,us.fatehi.magnetictrack.BaseBankCardTrackData,us.fatehi.magnetictrack.BaseBankCardTrackData; us.fatehi.magnetictrack.Track1FormatB
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BankCardMagneticTrack,toString,93,13,0,127,0,us.fatehi.magnetictrack.BaseBankCardTrackData,us.fatehi.magnetictrack.BaseBankCardTrackData; us.fatehi.magnetictrack.Track1FormatB; us.fatehi.magnetictrack.BaseTrackData; us.fatehi.magnetictrack.BankCardMagneticTrack
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,getGroup,9,3,2,21,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,BaseTrackData,4,1,2,33,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,disposeDiscretionaryData,3,1,0,38,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,getDiscretionaryData,3,1,0,47,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,hasDiscretionaryData,3,1,0,56,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseTrackData,toString,3,1,0,65,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,BaseBankCardTrackData,21,4,5,30,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,equals,22,7,1,57,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,getAccountNumber,3,1,0,81,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,getExpirationDate,3,1,0,90,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,getServiceCode,3,1,0,99,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,hasAccountNumber,3,1,0,108,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,hasExpirationDate,3,1,0,117,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,hashCode,8,1,0,126,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,BaseBankCardTrackData,hasServiceCode,3,1,0,136,0,,
sualeh_magnetictrackparser,us.fatehi.magnetictrack,Track1FormatB,from,29,2,1,58,0,,
