Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,configure,Long Statement,The length of the statement "LOGGER.debug("[NGSIRestHandler] Reading configuration (" + NGSIConstants.PARAM_NOTIFICATION_TARGET + "="+ notificationTarget+ ")");" is 131.,107
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,configure,Long Statement,The length of the statement "LOGGER.error("[NGSIRestHandler] Bad configuration (" + NGSIConstants.PARAM_NOTIFICATION_TARGET + "="+ notificationTarget+ ") -- Must start with '/'");" is 150.,107
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,configure,Long Statement,The length of the statement "LOGGER.error("[NGSIRestHandler] Bad configuration ('" + NGSIConstants.PARAM_DEFAULT_SERVICE + "' parameter length greater than "+ NGSIConstants.SERVICE_HEADER_MAX_LEN+ ")");" is 173.,107
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,configure,Long Statement,The length of the statement "LOGGER.debug("[NGSIRestHandler] Reading configuration (" + NGSIConstants.PARAM_DEFAULT_SERVICE + "="+ defaultService+ ")");" is 123.,107
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,configure,Long Statement,The length of the statement "LOGGER.error("[NGSIRestHandler] Bad configuration ('" + NGSIConstants.PARAM_DEFAULT_SERVICE + "' parameter can only contain alphanumerics or underscores)");" is 156.,107
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,getEvents,Complex Method,Cyclomatic complexity of the method is 18,138
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,getEvents,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@190ec734,138
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,wrongContentType,Complex Conditional,The conditional expression headerValue.toLowerCase(Locale.ENGLISH).contains("application/json; charset=utf-8") || headerValue.toLowerCase(Locale.ENGLISH).contains("application/ld+json") || headerValue.toLowerCase(Locale.ENGLISH).contains("application/json") is complex.,353
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandler,wrongContentType,Long Statement,The length of the statement "if (headerValue.toLowerCase(Locale.ENGLISH).contains("application/json; charset=utf-8") || headerValue.toLowerCase(Locale.ENGLISH).contains("application/ld+json") || headerValue.toLowerCase(Locale.ENGLISH).contains("application/json")) {" is 237.,353
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest.getHeaderNames()).thenReturn(Collections.enumeration(new ArrayList(Arrays.asList(headerNames))));" is 125.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest.getReader()).thenReturn(new BufferedReader(new InputStreamReader(new ByteArrayInputStream(notification3.getBytes()))));" is 147.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest2.getHeaderNames()).thenReturn(Collections.enumeration(new ArrayList(Arrays.asList(headerNames2))));" is 127.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest2.getReader()).thenReturn(new BufferedReader(new InputStreamReader(new ByteArrayInputStream(notification3.getBytes()))));" is 148.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest3.getHeaderNames()).thenReturn(Collections.enumeration(new ArrayList(Arrays.asList(headerNames))));" is 126.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest3.getReader()).thenReturn(new BufferedReader(new InputStreamReader(new ByteArrayInputStream(notification3.getBytes()))));" is 148.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest4.getHeaderNames()).thenReturn(Collections.enumeration(new ArrayList(Arrays.asList(headerNames2))));" is 127.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,setUp,Long Statement,The length of the statement "when(mockHttpServletRequest4.getReader()).thenReturn(new BufferedReader(new InputStreamReader(new ByteArrayInputStream(notification4.getBytes()))));" is 148.,184
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotMandatoryParameters,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "-------- When not configured` the default values are used for non mandatory parameters");" is 159.,234
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotMandatoryParameters,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- OK - The default configuration value for 'notification_target' is '/notify'");" is 150.,234
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotMandatoryParameters,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- FAIL - The default configuration value for 'notification_target' is '" + handler.getNotificationTarget()+ "'");" is 183.,234
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotMandatoryParameters,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- OK - The default configuration value for 'default_service' is 'default'");" is 146.,234
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotMandatoryParameters,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- FAIL - The default configuration value for 'default_service' is '" + handler.getDefaultService()+ "'");" is 175.,234
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureDefaultServiceIsLegal,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "-------- The configured default service can only contain alphanumerics and underscores");" is 159.,269
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureDefaultServiceIsLegal,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- OK - The configured default service '" + configuredDefaultService+ "' was detected as invalid");" is 168.,269
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureDefaultServiceIsLegal,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- FAIL - The configured default service '" + configuredDefaultService+ "' was not detected as invalid");" is 174.,269
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotificationTargerStartsWithSlash,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "-------- The configured notification target must start with '/'");" is 136.,295
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotificationTargerStartsWithSlash,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- OK - The configured notification target '" + configuredNotificationTarget+ "' starts with '/'");" is 168.,295
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testConfigureNotificationTargerStartsWithSlash,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.configure]") + "- FAIL - The configured notification target '" + configuredNotificationTarget+ "' does not start with '/'");" is 178.,295
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "-------- When a notification is sent` the headers are valid");" is 132.,320
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "- OK - The value for 'Content-Type' header is 'application/json; charset=utf-8'");" is 152.,320
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "- OK - The value for 'fiware-servicePath' header starts with '/'");" is 137.,320
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "- OK - The length of 'fiware-service' header value is " + " less or equal than '"+ NGSIConstants.SERVICE_HEADER_MAX_LEN+ "'");" is 196.,320
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "- OK - The length of 'fiware-servicePath' header value " + "is less or equal than '"+ NGSIConstants.SERVICE_PATH_HEADER_MAX_LEN+ "'");" is 204.,320
telefonicaid_fiware-cygnus,com.telefonica.iot.cygnus.handlers,NGSIRestHandlerTest,testGetEventsContentTypeHeader,Long Statement,The length of the statement "System.out.println(getTestTraceHead("[NGSIRestHandler.getEvents]") + "- FAIL - The value for 'Content-Type' is not 'application/json; charset=utf-8'");" is 151.,320
