Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getUrl,3,1,0,30,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setUrl,3,1,1,34,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getFile,3,1,0,38,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setFile,3,1,1,42,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getName,3,1,0,46,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setName,3,1,1,50,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getPrefix,3,1,0,54,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setPrefix,3,1,1,58,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getPackageName,3,1,0,62,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setPackageName,3,1,1,66,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getClassName,3,1,0,70,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setClassName,3,1,1,74,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getMimeType,3,1,0,78,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setMimeType,3,1,1,82,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setPreferredLanguage,3,1,1,86,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getPreferredLanguage,3,1,0,90,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,setConstantCase,3,1,1,94,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,getConstantCase,3,1,0,98,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,create,7,1,3,102,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,create,7,1,3,110,0,,
tkurz_sesame-vocab-builder,com.github.tkurz.sesame.vocab.plugin,Vocabulary,isCreateResourceBundles,3,1,0,118,0,,
