Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
tracee_tracee,io.tracee,Utilities,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CHARSET_UTF8
tracee_tracee,io.tracee,Utilities,Law of Demeter violation,The tool detected the smell in this method (generateInvocationIdIfNecessary) because the method voilates the law of Demeter. The long chain of method invocations is : io.tracee.TraceeBackend.getConfiguration; io.tracee.configuration.TraceeFilterConfiguration.shouldGenerateInvocationId
tracee_tracee,io.tracee,Utilities,Law of Demeter violation,The tool detected the smell in this method (generateInvocationIdIfNecessary) because the method voilates the law of Demeter. The long chain of method invocations is : io.tracee.TraceeBackend.getConfiguration; io.tracee.configuration.TraceeFilterConfiguration.generatedInvocationIdLength
tracee_tracee,io.tracee,Utilities,Law of Demeter violation,The tool detected the smell in this method (generateSessionIdIfNecessary) because the method voilates the law of Demeter. The long chain of method invocations is : io.tracee.TraceeBackend.getConfiguration; io.tracee.configuration.TraceeFilterConfiguration.shouldGenerateSessionId
tracee_tracee,io.tracee,Utilities,Law of Demeter violation,The tool detected the smell in this method (generateSessionIdIfNecessary) because the method voilates the law of Demeter. The long chain of method invocations is : io.tracee.TraceeBackend.getConfiguration; io.tracee.configuration.TraceeFilterConfiguration.generatedSessionIdLength
tracee_tracee,io.tracee,TraceeConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TPIC_HEADER; SOAP_HEADER_NAMESPACE; SOAP_HEADER_QNAME; SESSION_ID_KEY; INVOCATION_ID_KEY
tracee_tracee,io.tracee,BackendProviderResolverTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.tracee.BackendProviderResolver
tracee_tracee,io.tracee,TraceeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.tracee.BackendProviderResolver
tracee_tracee,io.tracee,BackendProviderSetTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.tracee.BackendProviderSet
tracee_tracee,io.tracee.configuration,TraceePropertiesFileLoader,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TRACEE_PROPERTIES_FILE; TRACEE_DEFAULT_PROPERTIES_FILE
tracee_tracee,io.tracee.configuration,PropertiesBasedTraceeFilterConfigurationBenchmarkTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CHANNEL
