Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
trulia_trulia-java-rets-client,org.realtors.rets.common.util,CaseInsensitiveComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trulia_trulia-java-rets-client,org.realtors.rets.common.util,CaseInsensitiveComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trulia_trulia-java-rets-client,org.realtors.rets.common.util,CaseInsensitiveTreeMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,JDomStandardBuilder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ELEMENT_SYSTEM; ELEMENT_RESOURCE; ELEMENT_FOREIGNKEY; ELEMENT_CLASS; ELEMENT_TABLE; ELEMENT_UPDATE; ELEMENT_UPDATETYPE; ELEMENT_OBJECT; ELEMENT_SEARCHHELP; ELEMENT_EDITMASK; ELEMENT_UPDATEHELP; ELEMENT_LOOKUP; ELEMENT_LOOKUPTYPE; ELEMENT_VALIDATIONLOOKUP; ELEMENT_VALIDATIONLOOKUPTYPE; ELEMENT_VALIDATIONEXPRESSION; ELEMENT_VALIDATIONEXTERNAL; ELEMENT_VALIDATIONEXTERNALTYPE; ATTRIBUTE_RESOURCEID; ATTRIBUTE_CLASSNAME; ATTRIBUTE_UPDATE; ATTRIBUTE_LOOKUP; ATTRIBUTE_VALIDATIONLOOKUP; ATTRIBUTE_VALIDATIONEXTERNAL; sType2Element; CONTAINER_PREFIX; CONTAINER_ROOT; CONTAINER_METADATA; CONTAINER_SYSTEM; CONTAINER_RESOURCE; CONTAINER_FOREIGNKEY; CONTAINER_CLASS; CONTAINER_TABLE; CONTAINER_UPDATE; CONTAINER_UPDATE_TYPE; CONTAINER_OBJECT; CONTAINER_SEARCH_HELP; CONTAINER_EDITMASK; CONTAINER_UPDATEHELP; CONTAINER_LOOKUP; CONTAINER_LOOKUPTYPE; CONTAINER_VALIDATIONLOOKUP; CONTAINER_VALIDATIONLOOKUPTYPE; CONTAINER_VALIDATIONEXPRESSION; CONTAINER_VALIDATIONEXTERNAL; CONTAINER_VALIDATIONEXTERNALTYPE; sContainer2Type
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,JDomStandardBuilder,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,MetaParseException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MetadataException
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,MetadataType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,JDomCompactBuilder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONTAINER_PREFIX; CONTAINER_ROOT; CONTAINER_METADATA; CONTAINER_SYSTEM; CONTAINER_RESOURCE; CONTAINER_FOREIGNKEY; CONTAINER_CLASS; CONTAINER_TABLE; CONTAINER_UPDATE; CONTAINER_UPDATETYPE; CONTAINER_OBJECT; CONTAINER_SEARCHHELP; CONTAINER_EDITMASK; CONTAINER_UPDATEHELP; CONTAINER_LOOKUP; CONTAINER_LOOKUPTYPE; CONTAINER_VALIDATIONLOOKUP; CONTAINER_VALIDATIONLOOKUPTYPE; CONTAINER_VALIDATIONEXPRESSION; CONTAINER_VALIDATIONEXTERNAL; CONTAINER_VALIDATIONEXTERNALTYPE; ELEMENT_SYSTEM; COLUMNS; DATA; ATTRIBUTE_RESOURCE; ATTRIBUTE_CLASS; ATTRIBUTE_UPDATE; ATTRIBUTE_LOOKUP; ATTRIBUTE_VALIDATIONEXTERNAL; ATTRIBUTE_VALIDATIONLOOKUP; LOG
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,JDomCompactBuilder,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 42 methods
trulia_trulia-java-rets-client,org.realtors.rets.common.metadata,MetaObject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; sAlphanum; sAlphanum64; sAlphanum32; sAlphanum24; sAlphanum10; sPlaintext; sPlaintext1024; sPlaintext512; sPlaintext128; sPlaintext64; sPlaintext32; sText; sText1024; sText512; sText256; sText128; sText64; sText32; sAttrBoolean; sAttrDate; sAttrNumeric; sAttrNumericPositive; sAttrVersion; sAttrMetadataEntryId; sNoChildren; retsid; retsname; STRICT_PARSING; LOOSE_PARSING; DEFAULT_PARSING; path; childTypes; attributes; attrTypes; sAttributeMapCache; mCollector; strict
