Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views,PointbuyCalculatorFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views,ParcelableEditorActivity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESULT_DELETE; INTENT_EXTRAS_KEY_EDITABLE_PARCELABLE; DEFAULT_REQUEST_CODE
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views,ParcelableEditorActivity.InvalidValueException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views,SimpleValueEditorDialog.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,CharacterSkillsFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,CharacterPartyMembershipFragment,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: GET_NEW_PARTIES_CODE
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,AbilitySelectionDialog.OnAbilitySelectedListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,SkillEditActivity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INTENT_EXTRAS_KEY_SKILL_DELETABLE_BOOLEAN
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,AbstractCharacterSheetFragment,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: GET_IMPORT_REQ_CODE; SELECT_CHARACTER_REQ_CODE
tsiemens_pathfinder-toolkit,com.lateensoft.pathfinder.toolkit.views.character,AbstractCharacterSheetFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
