Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
twitter_hpack,com.twitter.hpack.microbench,DecoderBenchmark,setup,3,1,0,53,0,com.twitter.hpack.microbench.DecoderBenchmark,com.twitter.hpack.microbench.DecoderBenchmark
twitter_hpack,com.twitter.hpack.microbench,DecoderBenchmark,decode,10,1,1,58,0,com.twitter.hpack.Decoder,com.twitter.hpack.Decoder
twitter_hpack,com.twitter.hpack.microbench,DecoderBenchmark,addHeader,3,1,3,63,0,,
twitter_hpack,com.twitter.hpack.microbench,DecoderBenchmark,getSerializedHeaders,9,2,2,71,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,headers,3,1,2,102,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,newOptionsBuilder,27,6,0,109,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,jvmArgs,3,1,0,145,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,run,3,1,0,149,1,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,getWarmupIterations,3,1,0,154,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,getMeasureIterations,3,1,0,158,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,getForks,3,1,0,162,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,getReportDir,3,1,0,166,0,,
twitter_hpack,com.twitter.hpack.microbench,AbstractMicrobenchmarkBase,getIntProperty,13,2,2,170,0,,
twitter_hpack,com.twitter.hpack.microbench,EncoderBenchmark,setup,4,1,0,51,0,,
twitter_hpack,com.twitter.hpack.microbench,EncoderBenchmark,encode,17,4,1,57,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack.microbench,Header,Header,4,1,2,31,0,,
twitter_hpack,com.twitter.hpack.microbench,Header,createHeaders,10,2,4,36,0,com.twitter.hpack.microbench.Header,com.twitter.hpack.microbench.Header
twitter_hpack,com.twitter.hpack.microbench,Header,randomBytes,13,3,2,50,0,,
twitter_hpack,com.twitter.hpack,Encoder,Encoder,3,1,1,40,0,,
twitter_hpack,com.twitter.hpack,Encoder,Encoder,10,2,4,47,0,,
twitter_hpack,com.twitter.hpack,Encoder,encodeHeader,46,9,4,66,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder; com.twitter.hpack.StaticTable; com.twitter.hpack.HeaderField
twitter_hpack,com.twitter.hpack,Encoder,setMaxHeaderTableSize,11,3,2,123,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack,Encoder,getMaxHeaderTableSize,3,1,0,138,0,,
twitter_hpack,com.twitter.hpack,Encoder,encodeInteger,23,5,4,145,0,,
twitter_hpack,com.twitter.hpack,Encoder,encodeStringLiteral,11,2,2,170,0,com.twitter.hpack.HuffmanEncoder,com.twitter.hpack.HuffmanEncoder; com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack,Encoder,encodeLiteral,0,5,5,184,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack,Encoder,getNameIndex,10,3,1,214,0,com.twitter.hpack.StaticTable,com.twitter.hpack.StaticTable; com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack,Encoder,ensureCapacity,9,3,1,225,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder
twitter_hpack,com.twitter.hpack,Encoder,length,3,1,0,239,0,,
twitter_hpack,com.twitter.hpack,Encoder,size,3,1,0,247,0,,
twitter_hpack,com.twitter.hpack,Encoder,getHeaderField,7,2,1,255,0,,
twitter_hpack,com.twitter.hpack,Encoder,getEntry,13,4,2,267,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder; com.twitter.hpack.HpackUtil
twitter_hpack,com.twitter.hpack,Encoder,getIndex,15,4,1,287,0,com.twitter.hpack.Encoder,com.twitter.hpack.Encoder; com.twitter.hpack.HpackUtil
twitter_hpack,com.twitter.hpack,Encoder,getIndex,6,2,1,307,0,,
twitter_hpack,com.twitter.hpack,Encoder,add,19,3,2,317,0,com.twitter.hpack.HeaderField,com.twitter.hpack.HeaderField; com.twitter.hpack.Encoder
