Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
uPhyca_GAlette,com.uphyca.example.galette,MainActivity,onCreate,10,1,1,33,0,com.uphyca.example.galette.MainActivity,com.uphyca.example.galette.MainActivity
uPhyca_GAlette,com.uphyca.example.galette,MainActivity,onClick,3,1,1,43,0,com.uphyca.example.galette.MainActivity,com.uphyca.example.galette.MainActivity
uPhyca_GAlette,com.uphyca.example.galette,MainActivity,onButtonClicked,2,1,1,50,0,,
uPhyca_GAlette,com.uphyca.example.galette,MyApplication,onEvent,3,1,1,17,0,,
uPhyca_GAlette,com.uphyca.example.galette,MyApplication,onScreenView,3,1,1,22,0,,
uPhyca_GAlette,com.uphyca.example.galette,MyApplication,onCreate,6,1,0,28,0,,
uPhyca_GAlette,com.uphyca.example.galette,MyApplication,getByName,3,1,1,45,0,,
uPhyca_GAlette,com.uphyca.example.galette,MyApplication,getHitInterceptor,3,1,1,50,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,processFile,16,3,1,332,0,com.uphyca.galette.GAletteInstrumentation,com.uphyca.galette.GAletteInstrumentation
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,weaveIfNecessary,17,2,2,351,0,com.uphyca.galette.GAletteInstrumentation,com.uphyca.galette.GAletteInstrumentation
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,hadWeaved,5,1,1,372,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,closeQuietly,10,2,1,381,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,processFiles,12,4,1,394,0,com.uphyca.galette.GAletteInstrumentation,com.uphyca.galette.GAletteInstrumentation
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentation,main,8,2,1,406,0,com.uphyca.galette.GAletteInstrumentation,com.uphyca.galette.GAletteInstrumentation
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,setUp,4,1,0,28,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getJarFile,4,1,1,34,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getClassesDir,4,1,1,39,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getIsolatedClassLoader,4,1,0,44,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getClassFile,3,1,1,49,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,processClass,7,1,1,53,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveSendAppView,9,1,0,61,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveSendScreenView,9,1,0,85,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveSendEvent,9,1,0,110,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveService,9,1,0,134,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveApplication,7,1,0,158,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveView,14,1,0,180,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getApplicationContext,3,1,0,188,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveContextProvider,14,1,0,213,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getApplicationContext,3,1,0,221,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveContext,14,1,0,255,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,getApplicationContext,3,1,0,263,0,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveFragment,11,1,0,289,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveSupportFragment,11,1,0,316,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveNestedClass,9,1,0,343,1,,
uPhyca_GAlette,com.uphyca.galette,GAletteInstrumentationTest,weaveNestedNestedClass,3,1,0,384,0,,
uPhyca_GAlette,com.uphyca.galette,ContextProvider,get,0,1,0,26,0,,
