Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
vert-x3_vertx-metrics,examples,MetricsExamples,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.vertx.ext.dropwizard.DropwizardMetricsOptions; io.vertx.ext.dropwizard.Match
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupJMXWithDomain) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.DropwizardMetricsOptions.setJmxEnabled; io.vertx.ext.dropwizard.DropwizardMetricsOptions.setJmxDomain
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredHandlers) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.DropwizardMetricsOptions.setEnabled; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredEventBusHandler; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredEventBusHandler
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredHandlers) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.Match.setValue; io.vertx.ext.dropwizard.Match.setType
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredUris) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.DropwizardMetricsOptions.setEnabled; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredHttpServerUri; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredHttpServerUri
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredUris) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.Match.setValue; io.vertx.ext.dropwizard.Match.setType
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredUrisWithAliases) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.DropwizardMetricsOptions.setEnabled; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredHttpServerUri
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredUrisWithAliases) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.Match.setValue; io.vertx.ext.dropwizard.Match.setAlias; io.vertx.ext.dropwizard.Match.setType
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredRoutes) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.DropwizardMetricsOptions.setEnabled; io.vertx.ext.dropwizard.DropwizardMetricsOptions.addMonitoredHttpServerRoute
vert-x3_vertx-metrics,examples,MetricsExamples,Law of Demeter violation,The tool detected the smell in this method (setupMonitoredRoutes) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.ext.dropwizard.Match.setValue; io.vertx.ext.dropwizard.Match.setType
