Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
vinumeris_lighthouse,lighthouse.server,PledgeServer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_LOCALHOST_PORT; DEFAULT_PID_FILENAME
vinumeris_lighthouse,lighthouse.utils,I18nUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: translations
vinumeris_lighthouse,lighthouse.utils,GuiUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log; UI_ANIMATION_TIME_MSEC; UI_ANIMATION_TIME; resourceOverrideDirectory
vinumeris_lighthouse,lighthouse.utils,GuiUtils.AnimatedBindInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.NoTransactionData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.BadTX,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.TxWrongNumberOfOutputs,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.OutputMismatch,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.UnknownUTXO,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.InconsistentUTXOAnswers,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.CachedValueMismatch,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.ValueMismatch,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.TooManyDependencies,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.NonStandardInput,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.P2SHPledge,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.PledgeTooSmall,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.GoalExceeded,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,Ex.UnknownProject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARSER; AMOUNT_FIELD_NUMBER; SCRIPT_FIELD_NUMBER; PARSER; TITLE_FIELD_NUMBER; COVER_IMAGE_FIELD_NUMBER; AUTH_KEY_FIELD_NUMBER; MIN_PLEDGE_SIZE_FIELD_NUMBER; EMAIL_FIELD_NUMBER; PARSER; AUTH_KEY_INDEX_FIELD_NUMBER; PARSER; NETWORK_FIELD_NUMBER; OUTPUTS_FIELD_NUMBER; TIME_FIELD_NUMBER; EXPIRES_FIELD_NUMBER; MEMO_FIELD_NUMBER; PAYMENT_URL_FIELD_NUMBER; MERCHANT_DATA_FIELD_NUMBER; EXTRA_DETAILS_FIELD_NUMBER; PARSER; PAYMENT_DETAILS_VERSION_FIELD_NUMBER; PKI_TYPE_FIELD_NUMBER; PKI_DATA_FIELD_NUMBER; SERIALIZED_PAYMENT_DETAILS_FIELD_NUMBER; SIGNATURE_FIELD_NUMBER; PARSER; CERTIFICATE_FIELD_NUMBER; PARSER; MEMO_FIELD_NUMBER; CONTACT_ADDRESS_FIELD_NUMBER; TOTAL_INPUT_VALUE_FIELD_NUMBER; PROJECT_ID_FIELD_NUMBER; TIMESTAMP_FIELD_NUMBER; ORIG_HASH_FIELD_NUMBER; NAME_FIELD_NUMBER; PARSER; MERCHANT_DATA_FIELD_NUMBER; TRANSACTIONS_FIELD_NUMBER; REFUND_TO_FIELD_NUMBER; PLEDGE_DETAILS_FIELD_NUMBER; PARSER; PAYMENT_FIELD_NUMBER; MEMO_FIELD_NUMBER; PARSER; ID_FIELD_NUMBER; TIMESTAMP_FIELD_NUMBER; VALUE_PLEDGED_SO_FAR_FIELD_NUMBER; PLEDGES_FIELD_NUMBER; CLAIMED_BY_FIELD_NUMBER
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Output,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Output,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARSER; AMOUNT_FIELD_NUMBER; SCRIPT_FIELD_NUMBER
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.ProjectExtraDetails,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.ProjectExtraDetails,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARSER; TITLE_FIELD_NUMBER; COVER_IMAGE_FIELD_NUMBER; AUTH_KEY_FIELD_NUMBER; MIN_PLEDGE_SIZE_FIELD_NUMBER; EMAIL_FIELD_NUMBER
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.OwnerData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.OwnerData,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARSER; AUTH_KEY_INDEX_FIELD_NUMBER
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.ProjectDetails,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.ProjectDetails,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARSER; NETWORK_FIELD_NUMBER; OUTPUTS_FIELD_NUMBER; TIME_FIELD_NUMBER; EXPIRES_FIELD_NUMBER; MEMO_FIELD_NUMBER; PAYMENT_URL_FIELD_NUMBER; MERCHANT_DATA_FIELD_NUMBER; EXTRA_DETAILS_FIELD_NUMBER
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vinumeris_lighthouse,lighthouse.protocol,LHProtos.Project,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
