Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,SpoofSelector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,SpoofSelector.SpoofListAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: inflater; spoofs
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,SpoofSelector.SpoofListAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,About,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,Preferences,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,Preferences.SettingsFragment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefs
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,Preferences.SettingsFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,SpoofRunning,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_SPOOFDATA; spoof; startButton; logOutput; spoofStatus; logscroller; service; mConnection; logList; LOG_LENGTH; statusReceiver; stopBackPress
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,NetSpoofService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STATUS_LOADING; STATUS_LOADED; STATUS_FINISHED; STATUS_STARTING; STATUS_STARTED; STATUS_STOPPING; STATUS_FAILED; INTENT_STATUSUPDATE; INTENT_SPOOFLIST; INTENT_NEWLOGOUTPUT; INTENT_EXTRA_STATUS; INTENT_EXTRA_LOGOUTPUT; NS_RUNNING; notificationManager; mRootStatus; binder; uiThreadHandler; started; status; runner; tasks; mainLoopManager
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,NetSpoofService.NetSpoofServiceBinder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,NetSpoofService.NetSpoofServiceBinder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,NetSpoof,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
w-shackleton_android-netspoof,uk.digitalsquid.netspoofer,YoutubeSelector,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CODE; web; wvc
