Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.io.model,MappedCharset,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FILE_MARK
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.io.model,SupportedCharsets,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LATIN_1; UTF_8; UTF_8_BOM; UTF_16_BE; UTF_16_LE
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.config,LoggerSettings,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OPERATION_LOG_LEVEL; PROCESSOR_LOG_LEVEL; LISTENER_LOG_LEVEL; MAPPER_LOG_LEVEL
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.config,Settings,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MIME_TYPE; EXTENSION; DEFAULT_FILE_NAME; RESOURCE_PATH; LOGO_PATH; SECTION_ICON_PATH; ENCODING_SETTING; EDITORCONFIG
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.model,EditorConfigConstant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ROOT; MAX_LINE_LENGTH; CHARSET; CHARSET_LATIN_1; CHARSET_UTF_8; CHARSET_UTF_8_BOM; CHARSET_UTF_16_BE; CHARSET_UTF_16_LE; END_OF_LINE; END_OF_LINE_LF; END_OF_LINE_CR; END_OF_LINE_CRLF; INDENT_SIZE; INDENT_STYLE; INDENT_STYLE_SPACE; INDENT_STYLE_TAB; INSERT_FINAL_NEWLINE; TAB_WIDTH; TRIM_TRAILING_WHITESPACE
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.listener,ProjectOpenCloseListener,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LISTENER_REGISTRY
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.processor,SmartSkip,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IS_ON
welovecoding_editorconfig-netbeans,com.welovecoding.nbeditorconfig.editor.api.lexer,ECTokenId,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TOKEN_WS; TOKEN_PROPERTY_KEY_ROOT; TOKEN_PROPERTY_KEY_CHARSET; TOKEN_PROPERTY_KEY_END_OF_LINE; TOKEN_PROPERTY_KEY_INDENT_SIZE; TOKEN_PROPERTY_KEY_INDENT_STYLE; TOKEN_PROPERTY_KEY_INSERT_FINAL_NEWLINE; TOKEN_PROPERTY_KEY_MAX_LINE_LENGTH; TOKEN_PROPERTY_KEY_TAB_WIDTH; TOKEN_PROPERTY_KEY_TRIM_TRAILING_WHITESPACE; TOKEN_PROPERTY_KEY_UNKNOWN; TOKEN_SECTION_LDELIMITER; TOKEN_SECTION_RDELIMITER; TOKEN_ASSIGNMENT; TOKEN_COMMENT; TOKEN_TEXT; TOKEN_SECTION_NAME; TOKEN_PROPERTY_VALUE; TOKEN_EOF
welovecoding_editorconfig-netbeans,org.editorconfig.core,EditorConfig,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VERSION
welovecoding_editorconfig-netbeans,org.editorconfig.core,EditorConfig.OutPair,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WS; PROPERTY_KEY_ROOT; PROPERTY_KEY_CHARSET; PROPERTY_KEY_END_OF_LINE; PROPERTY_KEY_INDENT_SIZE; PROPERTY_KEY_INDENT_STYLE; PROPERTY_KEY_INSERT_FINAL_NEWLINE; PROPERTY_KEY_MAX_LINE_LENGTH; PROPERTY_KEY_TAB_WIDTH; PROPERTY_KEY_TRIM_TRAILING_WHITESPACE; PROPERTY_KEY_UNKNOWN; SECTION_LDELIMITER; SECTION_RDELIMITER; ASSIGNMENT; COMMENT; TEXT; SECTION_NAME; PROPERTY_VALUE; RULE_file; RULE_section; RULE_sectionHeader; RULE_rootPropertyStatement; RULE_propertyStatement; RULE_propertyKey; RULE_propertyValue; ruleNames; VOCABULARY; tokenNames; _serializedATN; _ATN
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.FileContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.SectionContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.SectionHeaderContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.RootPropertyStatementContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.PropertyStatementContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.PropertyKeyContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
welovecoding_editorconfig-netbeans,org.antlr4,EditorConfigParser.PropertyValueContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
