Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
wgybzbrobot_sns-crm,zx.soft.sns.core.driver,SNSCoreDriver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.core.tsdb,Tsdb,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.core.tsdb,GatherQueueReport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.core.tsdb,TsdbReporter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.core.spider,SpiderWeChatPARunnable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; ANALYZER_TOOL; weChatParser; weChatDaoImpl; keyword; cache; CLOSE_USERS_KEY; PROCESSED_USERS_KEY; WAIT_USERS_KEY; INSERTED_WECHAT; WECHAT_PUBLIC_ACCOUNTS; count; saddIfNotExistOthers_script
wgybzbrobot_sns-crm,zx.soft.sns.api.driver,SnsApiDriver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.api.service,WeChatService,Feature Envy,The tool detected a instance of this smell because selectKeywords is more interested in members of the type: KeywordMapper
wgybzbrobot_sns-crm,zx.soft.sns.api.utils,CustomObjectMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.api.utils,CustomObjectMapper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; sinaDateFormat
wgybzbrobot_sns-crm,zx.soft.sns.api.domain,WeChatPublicAccount.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.api.domain,WeChatPublicAccount.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: wid; name; open_id; head_url; description; verify_info; last_article_url
wgybzbrobot_sns-crm,zx.soft.sns.api.controller,WeChatController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.api.controller,KeywordController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.common,MybatisConfig.ServerEnum,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
wgybzbrobot_sns-crm,zx.soft.sns.dao.common,MybatisConfig.ServerEnum,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccountInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccountInsert.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccountInsert.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tablename; qq; name; gender; age; qqGroup
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccount,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccount.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: qq; name; gender; age; qqGroup
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccount.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.qq,QQAccount.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: qq; name; gender; age; qqGroup
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatAInsert.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatAInsert.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tablename; aid; title; url; picUrl; timestamp; weChatName; weChatOpenId; content
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatArticle.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatArticle.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: aid; title; url; picUrl; timestamp; weChatName; weChatOpenId; content
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatSelect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatPAInsert.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatPAInsert.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tablename; wid; name; openId; headUrl; description; verifyInfo; lastArticleUrl
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatPublicAccount.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.domain.wechat,WeChatPublicAccount.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: wid; name; openId; headUrl; description; verifyInfo; lastArticleUrl
wgybzbrobot_sns-crm,zx.soft.sns.dao.sql,CreateTable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.sql,CreateTable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; WECHAT_PUBLIC_ACCOUNTS; WECHAT_ARTICLES; QQ_ACCOUNTS
wgybzbrobot_sns-crm,zx.soft.sns.dao.demo,WeChatDaoImplDemo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.dao.demo,QQDaoImplDemo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.parser.constant,QQConstant,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ROOT_URL; QQ
wgybzbrobot_sns-crm,zx.soft.sns.parser.constant,QQConstant,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.parser.constant,QQConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROOT_URL; QQ
wgybzbrobot_sns-crm,zx.soft.sns.parser.constant,WeChatConstant,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wgybzbrobot_sns-crm,zx.soft.sns.parser.constant,WeChatConstant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROOT_URL; PAGE_WEIXIN; TYPE; TYPE_PUBLIC_ACCOUNT; TYPE_ARTICLE; QUERY; PAGE; OTHER_PARAMS; PAGE_PUBLIC_ACCOUNT; OPEN_ID; PAGE_PUBLIC_ACCOUNT_JSAPI
