Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
windy1_google-places-api-java,se.walkercrou.places,DefaultRequestHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_CHARACTER_ENCODING
windy1_google-places-api-java,se.walkercrou.places,Prediction,Law of Demeter violation,The tool detected the smell in this method (parse) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Prediction.setPlaceId; se.walkercrou.places.Prediction.setDescription; se.walkercrou.places.Prediction.addTerms; se.walkercrou.places.Prediction.addTypes; se.walkercrou.places.Prediction.setSubstringLength; se.walkercrou.places.Prediction.setSubstringOffset; se.walkercrou.places.Prediction.setClient
windy1_google-places-api-java,se.walkercrou.places,Prediction.DescriptionTerm,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
windy1_google-places-api-java,se.walkercrou.places,Review.Aspect,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
windy1_google-places-api-java,se.walkercrou.places,Hours.Period,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: se.walkercrou.places.Place
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: API_URL_FORMAT_STRING
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (parseResults) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Place.setClient; se.walkercrou.places.Place.setPlaceId; se.walkercrou.places.Place.setLatitude; se.walkercrou.places.Place.setLongitude; se.walkercrou.places.Place.setIconUrl; se.walkercrou.places.Place.setName; se.walkercrou.places.Place.setAddress; se.walkercrou.places.Place.setRating; se.walkercrou.places.Place.setStatus; se.walkercrou.places.Place.setPrice; se.walkercrou.places.Place.addTypes; se.walkercrou.places.Place.setVicinity; se.walkercrou.places.Place.setJson
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (downloadPhoto) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (downloadPhoto) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (getPlacePredictions) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (getPlacePredictions) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (getQueryPredictions) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlaces,Law of Demeter violation,The tool detected the smell in this method (getQueryPredictions) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,Place,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: se.walkercrou.places.Hours; se.walkercrou.places.AddressComponent
windy1_google-places-api-java,se.walkercrou.places,Place,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
windy1_google-places-api-java,se.walkercrou.places,Place,Law of Demeter violation,The tool detected the smell in this method (parseDetails) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Review.addAspects; se.walkercrou.places.Review.setAuthor; se.walkercrou.places.Review.setAuthorUrl; se.walkercrou.places.Review.setLanguage; se.walkercrou.places.Review.setRating; se.walkercrou.places.Review.setText; se.walkercrou.places.Review.setTime
windy1_google-places-api-java,se.walkercrou.places,Place,Law of Demeter violation,The tool detected the smell in this method (parseDetails) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Place.setPlaceId; se.walkercrou.places.Place.setClient; se.walkercrou.places.Place.setName; se.walkercrou.places.Place.setAddress; se.walkercrou.places.Place.setIconUrl; se.walkercrou.places.Place.setPrice; se.walkercrou.places.Place.setLatitude; se.walkercrou.places.Place.setLongitude; se.walkercrou.places.Place.addTypes; se.walkercrou.places.Place.setRating; se.walkercrou.places.Place.setStatus; se.walkercrou.places.Place.setVicinity; se.walkercrou.places.Place.setPhoneNumber; se.walkercrou.places.Place.setInternationalPhoneNumber; se.walkercrou.places.Place.setGoogleUrl; se.walkercrou.places.Place.setWebsite; se.walkercrou.places.Place.addPhotos; se.walkercrou.places.Place.addAddressComponents; se.walkercrou.places.Place.setHours; se.walkercrou.places.Place.addReviews; se.walkercrou.places.Place.setUtcOffset; se.walkercrou.places.Place.setScope; se.walkercrou.places.Place.addAltIds; se.walkercrou.places.Place.setJson
windy1_google-places-api-java,se.walkercrou.places,ProtocolTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: se.walkercrou.places.GooglePlaces
windy1_google-places-api-java,se.walkercrou.places,ProtocolTests,Law of Demeter violation,The tool detected the smell in this method (testNearbySearch) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.TypeParam.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: se.walkercrou.places.GooglePlaces
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Law of Demeter violation,The tool detected the smell in this method (testGetNearbyPlacesRankedByDistance) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.TypeParam.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Law of Demeter violation,The tool detected the smell in this method (testGetNearbyPlacesRankedByDistance) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Law of Demeter violation,The tool detected the smell in this method (testGetNearbyPlaces) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.TypeParam.name; se.walkercrou.places.Param.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Law of Demeter violation,The tool detected the smell in this method (testGetNearbyPlaces) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.TypeParam.name; se.walkercrou.places.TypeParam.value
windy1_google-places-api-java,se.walkercrou.places,GooglePlacesTest,Law of Demeter violation,The tool detected the smell in this method (testGetPlacesByRadar) because the method voilates the law of Demeter. The long chain of method invocations is : se.walkercrou.places.Param.name; se.walkercrou.places.Param.value
