Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
wix_petri,com.wixpress.petri,PetriRPCClient,getJsonRpcHttpClient,6,1,1,26,0,,
wix_petri,com.wixpress.petri,PetriRPCClient,makeFullClientFor,4,1,1,36,0,com.wixpress.petri.PetriRPCClient,com.wixpress.petri.PetriRPCClient
wix_petri,com.wixpress.petri,PetriRPCClient,makeFor,4,1,1,46,0,com.wixpress.petri.PetriRPCClient,com.wixpress.petri.PetriRPCClient
wix_petri,com.wixpress.petri,PetriRPCClient,makeUserRequestFor,6,1,1,56,0,com.wixpress.petri.PetriRPCClient,com.wixpress.petri.PetriRPCClient
wix_petri,com.wixpress.petri,BaseHttpServlet,writeResponse,8,1,3,18,0,,
wix_petri,com.wixpress.petri,BaseHttpServlet,writeAsTextResponse,3,1,2,27,0,com.wixpress.petri.BaseHttpServlet,com.wixpress.petri.BaseHttpServlet
wix_petri,com.wixpress.petri,BaseHttpServlet,writeAsJsonResponse,3,1,2,31,0,com.wixpress.petri.BaseHttpServlet,com.wixpress.petri.BaseHttpServlet
wix_petri,com.wixpress.petri,BaseHttpServlet,asJson,6,1,1,35,0,,
wix_petri,com.wixpress.petri,NonSerializableServerException,NonSerializableServerException,3,1,2,13,0,,
wix_petri,com.wixpress.petri,SpecsSynchronizerServlet,doPost,7,1,2,27,0,,
wix_petri,com.wixpress.petri,ExtractUserInfoServlet,doGet,6,1,2,20,0,,
wix_petri,com.wixpress.petri,ConductExperimentServlet,doGet,8,1,2,20,0,,
wix_petri,com.wixpress.petri,LogDriver,LogDriver,3,1,0,25,0,com.wixpress.petri.LogDriver,com.wixpress.petri.LogDriver
wix_petri,com.wixpress.petri,LogDriver,getLogFileFullName,5,1,0,29,0,,
wix_petri,com.wixpress.petri,LogDriver,lastLongEntry,4,1,0,37,0,com.wixpress.petri.LogDriver,com.wixpress.petri.LogDriver
wix_petri,com.wixpress.petri,LogDriver,logEntries,3,1,0,42,0,,
wix_petri,com.wixpress.petri,LogDriver,cleanup,5,1,0,46,0,,
wix_petri,com.wixpress.petri,TestAppController,conductExperiment,3,1,2,27,0,,
wix_petri,com.wixpress.petri,RunnableServer,main,3,1,1,18,0,com.wixpress.petri.RunnableServer,com.wixpress.petri.RunnableServer
wix_petri,com.wixpress.petri,RunnableServer,start,7,1,0,23,0,com.wixpress.petri.RunnableServer,com.wixpress.petri.RunnableServer
wix_petri,com.wixpress.petri,RunnableServer,stop,3,1,0,31,0,,
