Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
wiztools_stagen,org.wiztools.stagen,FileExtension,getFileExtension,0,1,0,8,0,,
wiztools_stagen,org.wiztools.stagen,MDContentTransformExecutor,transform,9,1,1,13,0,,
wiztools_stagen,org.wiztools.stagen,MDContentTransformExecutor,getFileExtension,3,1,0,25,0,,
wiztools_stagen,org.wiztools.stagen,RunnerRun,register,11,2,2,34,0,,
wiztools_stagen,org.wiztools.stagen,RunnerRun,preVisitDirectory,4,1,2,37,0,,
wiztools_stagen,org.wiztools.stagen,RunnerRun,startMonitoring,10,1,1,46,0,,
wiztools_stagen,org.wiztools.stagen,RunnerRun,run,21,1,1,59,0,org.wiztools.stagen.RunnerRun,org.wiztools.stagen.RunnerRun
wiztools_stagen,org.wiztools.stagen,StaGenMain,printHelp,13,1,1,20,0,,
wiztools_stagen,org.wiztools.stagen,StaGenMain,runCommand,37,8,2,36,0,org.wiztools.stagen.StaGenMain,org.wiztools.stagen.StaGenMain
wiztools_stagen,org.wiztools.stagen,StaGenMain,main,40,6,1,77,0,org.wiztools.stagen.StaGenMain,org.wiztools.stagen.StaGenMain
wiztools_stagen,org.wiztools.stagen,Util,Util,2,1,0,29,0,,
wiztools_stagen,org.wiztools.stagen,Util,getBaseFileName,4,1,1,32,0,,
wiztools_stagen,org.wiztools.stagen,Util,resolveFile,3,1,1,37,0,,
wiztools_stagen,org.wiztools.stagen,Util,isDirEmpty,3,1,1,41,0,,
wiztools_stagen,org.wiztools.stagen,Util,isDirEmptyOrNotExists,3,1,1,45,0,org.wiztools.stagen.Util,org.wiztools.stagen.Util
wiztools_stagen,org.wiztools.stagen,Util,copyDirectory,59,8,2,49,0,,
wiztools_stagen,org.wiztools.stagen,Util,preVisitDirectory,41,7,2,52,0,,
wiztools_stagen,org.wiztools.stagen,Util,visitFile,4,1,2,112,0,,
wiztools_stagen,org.wiztools.stagen,Util,visitFileFailed,3,1,2,119,0,,
