Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yammer_breakerbox,com.yammer.breakerbox.turbine,KubernetesInstanceDiscovery,getInstanceList,Long Statement,The length of the statement "return client.pods().inAnyNamespace().list().getItems().stream().filter(pod -> pod.getMetadata().getAnnotations() != null).filter(pod -> pod.getMetadata().getAnnotations().containsKey(PORT_ANNOTATION_KEY)).map(pod -> {" is 218.,42
yammer_breakerbox,com.yammer.breakerbox.turbine,RegisterClustersInstanceDiscoveryWrapper,getInstanceList,Long Statement,The length of the statement "TurbineInstanceDiscovery.registerClusters(instances.stream().map(Instance::getCluster).collect(Collectors.toCollection(TreeSet::new))`urlSuffix);" is 145.,29
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,getInstanceList,Long Statement,The length of the statement "return response.getStatus() == 200 ? createServiceInstanceList(response.readEntity(String.class)) : Collections.emptyList();" is 124.,38
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,getInstanceList,Magic Number,The method contains a magic number: 200,38
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,createServiceInstanceList,Long Statement,The length of the statement "Collection<Instance> instances=dataList.stream().filter(this::isServiceDashboardEnabled).map(this::createInstanceList).flatMap(Collection::stream).collect(Collectors.toList());" is 176.,46
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,createProductionDashboard,Long Statement,The length of the statement "return instances.stream().map(instance -> new Instance(instance.getHostname()`"production"`true)).collect(Collectors.toList());" is 127.,58
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,createInstanceList,Long Statement,The length of the statement "return publicEndpoints.stream().filter(jsonNodes -> jsonNodes.get("port").asInt() == metricsStreamPort).map(jsonNode -> createTurbineInstance(jsonNode`clusterName)).collect(Collectors.toList());" is 194.,69
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,getServiceMetricsStreamPort,Magic Number,The method contains a magic number: 8080,84
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,getPublicEndpoints,Long Statement,The length of the statement "return objectNode.get("publicEndpoints").getNodeType().equals(JsonNodeType.ARRAY) ? convertJsonArrayToList((ArrayNode)objectNode.get("publicEndpoints")) : Collections.emptyList();" is 179.,89
yammer_breakerbox,com.yammer.breakerbox.turbine,RancherInstanceDiscovery,convertJsonArrayToList,Long Statement,The length of the statement "return mapper.readValue(arrayNode.toString()`TypeFactory.defaultInstance().constructCollectionType(List.class`JsonNode.class));" is 127.,104
yammer_breakerbox,com.yammer.breakerbox.turbine,MarathonInstanceDiscovery,constructMarathonClientConfigurationBuilderMap,Long Identifier,The length of the field marathonClientConfigurationBuilderMap is 37.,37
yammer_breakerbox,com.yammer.breakerbox.turbine,MarathonInstanceDiscovery,getInstanceList,Long Identifier,The length of the field marathonClientConfigurationBuilderMap is 37.,47
yammer_breakerbox,com.yammer.breakerbox.turbine,MarathonInstanceDiscovery,createServiceInstanceList,Long Statement,The length of the statement "return tasks.stream().map(task -> new Instance(task.getHost() + ":" + task.getPorts().get(finalPortIndex)`marathonClientConfiguration.getCluster()`true)).collect(Collectors.toList());" is 183.,66
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,equals,Long Statement,The length of the statement "return serviceApiUrl.equals(that.serviceApiUrl) && accessKey.equals(that.accessKey) && secretKey.equals(that.secretKey)&& null != parameters ? parameters.equals(that.parameters) : null == that.parameters;" is 204.,34
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,hashCode,Magic Number,The method contains a magic number: 31,45
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,hashCode,Magic Number,The method contains a magic number: 31,45
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,hashCode,Magic Number,The method contains a magic number: 31,45
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,toString,Long Statement,The length of the statement "return "RancherInstanceConfiguration{" + "serviceApiUrl='" + serviceApiUrl + '\''+ "` accessKey='"+ accessKey+ '\''+ "` secretKey='"+ secretKey+ '\''+ "` parameters='"+ getQueryString()+ '\''+ '}';" is 197.,56
yammer_breakerbox,com.yammer.breakerbox.turbine.config,RancherInstanceConfiguration,getQueryString,Long Statement,The length of the statement "return null != parameters ? parameters.keySet().stream().map(s -> s + "=" + parameters.get(s)).reduce((s`s2) -> s + "&" + s2).orElse("") : "";" is 142.,66
yammer_breakerbox,com.yammer.breakerbox.turbine.config,YamlInstanceConfiguration,addCluster,Long Statement,The length of the statement "cluster.getClusters().stream().filter(name -> !visited.contains(name)).forEach(notVisitedClusterName -> addCluster(acc`clusters.get(notVisitedClusterName)`clusterName`ImmutableSet.<String>builder().addAll(visited).add(notVisitedClusterName).build()));" is 251.,46
yammer_breakerbox,com.yammer.breakerbox.turbine.client,MarathonClient,getServiceInstanceDetails,Long Statement,The length of the statement "WebTarget target=client.target(marathonClientConfiguration.getMarathonApiUrl() + "/v2/apps" + marathonClientConfiguration.getMarathonAppNameSpace());" is 149.,21
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,usesOnlyPodsWithPortAnnotation,Long Statement,The length of the statement "for ( Instance instance : discovery.getInstanceList()) assertThat(instance.getCluster()).doesNotStartWith("production-service-c");" is 130.,92
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,usesIpAddressForHostName,Long Statement,The length of the statement "for ( Instance instance : discovery.getInstanceList()) assertThat(instance.getHostname()).matches(Pattern.compile("^(?:[0-9]{1`3}\\.){3}[0-9]{1`3}:[0-9]{2`5}$"));" is 162.,98
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,createsCorrectAmountOfInstances,Magic Number,The method contains a magic number: 3,105
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,usesPodGenerateNamesAndNamespaceToBuildClusters,Long Statement,The length of the statement "boolean validCluster=instance.getCluster().equals("staging-service-a") || instance.getCluster().equals("production-service-b");" is 127.,110
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,onlyAcceptsCorrectValuesInPortAnnotation,Long Statement,The length of the statement "invalidAnnotation.getMetadata().setAnnotations(Maps.newHashMap(KubernetesInstanceDiscovery.PORT_ANNOTATION_KEY`"invalid-port"));" is 128.,121
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,removesPodTemplateHashFromClusterName,Long Statement,The length of the statement "Optional<Instance> instanceOptional=discovery.getInstanceList().stream().filter(instance -> instance.getCluster().equals("production-service-depl")).findAny();" is 159.,159
