Project Name,Package Name,Architecture Smell,Cause of the Smell
yammer_tenacity,com.yammer.tenacity.core.properties,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yammer.tenacity.core.properties; com.yammer.tenacity.core
yammer_tenacity,com.yammer.tenacity.core.properties,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yammer.tenacity.core
yammer_tenacity,com.yammer.tenacity.core.properties,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TenacityPropertyRegister; TenacityPropertyKey; ArchaiusPropertyRegister; TenacityPropertyStore; TenacityPropertyKeyFactory; StringTenacityPropertyKeyFactory]; [ArchaiusPropertyRegister.TenacityPollingScheduler]. LCC (Lack of Component Cohesion) = 0.29
yammer_tenacity,com.yammer.tenacity.core.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircuitBreaker; CircuitBreakers]; [CircuitBreaker.State]; [CircuitBreaker.Deserializer]; [TenacityObservables]; [ManagedHystrix]. LCC (Lack of Component Cohesion) = 0.83
yammer_tenacity,com.yammer.tenacity.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yammer.tenacity.core; com.yammer.tenacity.core.properties
yammer_tenacity,com.yammer.tenacity.core.bundle,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yammer.tenacity.core.healthcheck
yammer_tenacity,com.yammer.tenacity.core.tests,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yammer.tenacity.core.tests; com.yammer.tenacity.tests
yammer_tenacity,com.yammer.tenacity.tests,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
yammer_tenacity,com.yammer.tenacity.tests,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yammer.tenacity.tests; com.yammer.tenacity.core.tests
yammer_tenacity,com.yammer.tenacity.tests,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yammer.tenacity.core.tests
yammer_tenacity,com.yammer.tenacity.tests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TenacityCircuitBreakerTest; TenacityFailingCommand; TenacityPropertyKeyResourceTest; DependencyKey; DependencyKeyFactory; TenacityCommandBuilderTest; TenacityObservableCommandTest; TenacityCommandFailureCauseTest; TenacityAuthenticatorTest; TenacityAuthenticatorTest.AuthenticatorApp; TenacityObservableCollapserTest; TenacityObservableCollapserTest.TenacityCollapser; ArchaiusPropertyRegisterTest; TenacityObservableCommandBuilderTest; TenacitySuccessCommand; TenacityPropertiesTest; TenacityCircuitBreakerHealthCheckTest; TenacityConfigurationResourceTest; TenacityCircuitBreakersResourceTest; TenacityPropertiesTest.ThreadIsolationCommand; TenacityContainerExceptionMapperTest]; [TenacityConfigurationModelTest]; [TenacityConfiguredBundleBuilderTest; ArchaiusPropertyRegisterBlockStartupTest; ArchaiusPropertyRegisterBlockStartupTest.App]; [TenacityConfiguredBundleBuilderTest.TenacityBundleApp]; [TenacityPropertiesTest.SleepCommand]; [TenacityContainerExceptionMapperTest.FakeResource]; [TenacityObservableCommandTest.RandomTenacityKey]; [TenacityCommandFailureCauseTest.TenacityTestException]; [ManagedConcurrencyStrategyTest]; [ManagedConcurrencyStrategyTest.Key]; [ManagedConcurrencyStrategyTest.SimpleCommand]; [TenacityAuthenticatorTest.AuthResource]; [TenacityAuthenticatorTest.AuthErrorResource]; [ArchaiusPropertyRegisterBlockStartupTest.AppConfiguration]; [TenacityObservableCollapserTest.Collapser]; [TenacityExceptionMapperTest]; [TenacityExceptionMapperTest.FakeResource]. LCC (Lack of Component Cohesion) = 0.44
yammer_tenacity,com.yammer.tenacity.tests.logging,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExceptionLoggingCommandHookTest]; [ExceptionLoggerTest]; [ExceptionLoggerTest.DummyExceptionLogger]; [ExceptionLoggingCommandHookIntegrationTest]; [ExceptionLoggingCommandHookIntegrationTest.DummyExceptionLogger]; [ExceptionLoggingCommandHookIntegrationTest.TenacityFailingWithIOException]; [ExceptionLoggingCommandHookIntegrationTest.AlwaysShortCircuit]. LCC (Lack of Component Cohesion) = 1.0
yammer_tenacity,com.yammer.tenacity.client.tests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TenacityResources; TenacityResourcesJerseyTest; TenacityResourcesServletTest; ServletKeys; TenacityServletAdminService; TenacityServletService]; [TenacityClientTest]; [TenacityClientTest.TenacityClientApp]; [TenacityClientTest.TenacityClientPropertyKey]; [TenacityClientTest.NonExistentKey]. LCC (Lack of Component Cohesion) = 0.5
