Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.bean,ClassSpecDescription,2,0,8,7,34,8,0,0,0.25,1,2,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/bean/ClassSpecDescription.java,15
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatchersGenProperties,0,0,2,0,13,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/MatchersGenProperties.java,10
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGenerator,1,0,6,3,70,11,0,0,0.6666666666666666,1,1,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/MatcherFactoryGenerator.java,34
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGeneratorTest,6,1,2,1,25,2,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/test/java/ru/yandex/qatools/processors/matcher/gen/MatcherFactoryGeneratorTest.java,23
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.elements,ElementParentsIterable,2,0,5,5,32,5,0,0,0.4,2,0,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/elements/ElementParentsIterable.java,11
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.elements,ElementParentsIterableTest,1,1,2,2,17,2,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/test/java/ru/yandex/qatools/processors/matcher/gen/elements/ElementParentsIterableTest.java,21
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,0,0,10,8,59,11,0,0,-1.0,1,1,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/processing/MethodsCollector.java,32
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,Naming,1,0,4,0,31,5,0,0,0.75,2,0,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/processing/Naming.java,3
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,ProcessingPredicates,0,0,3,3,24,3,0,0,-1.0,1,1,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/processing/ProcessingPredicates.java,13
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,ProcessingException,0,0,1,1,8,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/yandex-qatools_hamcrest-pojo-matcher-generator/feature-matcher-generator/src/main/java/ru/yandex/qatools/processors/matcher/gen/processing/ProcessingException.java,5
