Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
zk1931_jzab,com.github.zk1931.jzab,ZabException.InvalidPhase,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
zk1931_jzab,com.github.zk1931.jzab,ZabException.TooManyPendingRequests,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
zk1931_jzab,com.github.zk1931.jzab,PreProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
zk1931_jzab,com.github.zk1931.jzab,Zab,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
zk1931_jzab,com.github.zk1931.jzab,MessageTuple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REQUEST_OF_DEATH
zk1931_jzab,com.github.zk1931.jzab,Leader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
zk1931_jzab,com.github.zk1931.jzab,CommitProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
zk1931_jzab,com.github.zk1931.jzab,PendingRequests.Tuple,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
zk1931_jzab,com.github.zk1931.jzab,DaemonThreadFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FACTORY
zk1931_jzab,com.github.zk1931.jzab,Participant,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
zk1931_jzab,com.github.zk1931.jzab,SimpleLog.SimpleLogIterator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
zk1931_jzab,com.github.zk1931.jzab,SyncProposalProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
zk1931_jzab,com.github.zk1931.jzab,ZabConfig.SslParameters,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
zk1931_jzab,com.github.zk1931.jzab,Follower,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
zk1931_jzab,com.github.zk1931.jzab,SyncProposalProcessorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
