Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
magarena,magic.data,FileIO,toImg,Complex Conditional,The conditional expression aFile == null || !aFile.isFile() || aFile.length() == 0L is complex.,85
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Complex Conditional,The conditional expression !imageFile.exists() || imageFile.length() == 0L || cardDefinition.isIgnored(imageFile.length()) is complex.,26
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Complex Conditional,The conditional expression !textFile.exists() || textFile.length() == 0L || cardDefinition.isIgnored(textFile.length()) is complex.,26
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Complex Method,Cyclomatic complexity of the method is 14,26
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Long Statement,The length of the statement "final File imageFile=cardDefinition.isToken() ? new File(tokensPathFile`cardDefinition.getImageName() + CardDefinitions.CARD_IMAGE_EXT) : new File(cardsPathFile`cardDefinition.getImageName() + CardDefinitions.CARD_IMAGE_EXT);" is 225.,26
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Magic Number,The method contains a magic number: 7,26
magarena,magic.data,DownloadMissingFiles,loadDownloadImageFiles,Magic Number,The method contains a magic number: 2,26
magarena,magic.data,DuelConfig,getProfile,Magic Number,The method contains a magic number: 3,97
magarena,magic.data,DuelConfig,getProfile,Magic Number,The method contains a magic number: 2,97
magarena,magic.data,DeckUtils,saveDeck,Complex Method,Cyclomatic complexity of the method is 9,52
magarena,magic.data,DeckUtils,saveDeck,Magic Number,The method contains a magic number: 3,52
magarena,magic.data,DeckUtils,saveDeck,Magic Number,The method contains a magic number: 2,52
magarena,magic.data,DeckUtils,saveDeck,Magic Number,The method contains a magic number: 2,52
magarena,magic.data,DeckUtils,loadDeck,Complex Method,Cyclomatic complexity of the method is 12,106
magarena,magic.data,DeckUtils,loadDeck,Magic Number,The method contains a magic number: 3,106
magarena,magic.data,DeckUtils,showUnsupportedCards,Magic Number,The method contains a magic number: 232L,175
magarena,magic.data,DeckUtils,showUnsupportedCards,Magic Number,The method contains a magic number: 70,175
magarena,magic.data,DeckUtils,getMaxCharactersPerLineCount,Magic Number,The method contains a magic number: 70,198
magarena,magic.data,DeckUtils,loadRandomDeck,Magic Number,The method contains a magic number: 24,220
magarena,magic.data,DeckUtils,loadRandomDeck,Magic Number,The method contains a magic number: 16,220
magarena,magic.data,DeckGenerators,addDeckGenerator,Empty catch clause,The method has an empty catch block.,37
magarena,magic.data,HighQualityCardImagesProvider,getFilename,Long Statement,The length of the statement "buffer.append(cardDefinition.isToken() ? CardDefinitions.TOKEN_IMAGE_FOLDER : CardDefinitions.CARD_IMAGE_FOLDER).append(File.separator);" is 136.,26
magarena,magic.data,CardDefinitions,setProperty,Complex Method,Cyclomatic complexity of the method is 34,40
magarena,magic.data,CardDefinitions,setProperty,Long Method,The method has 109 lines of code.,40
magarena,magic.data,CardDefinitions,loadCardTexts,Empty catch clause,The method has an empty catch block.,274
magarena,magic.data,DownloadCardTextFile,download,Magic Number,The method contains a magic number: 195,29
magarena,magic.data,DownloadCardTextFile,download,Magic Number,The method contains a magic number: 8224,29
magarena,magic.data,OSXAdapter,setAboutHandler,Long Statement,The length of the statement "Method enableAboutMethod=macOSXApplication.getClass().getDeclaredMethod("setEnabledAboutMenu"`new Class[]{boolean.class});" is 122.,82
magarena,magic.data,OSXAdapter,setPreferencesHandler,Long Statement,The length of the statement "Method enablePrefsMethod=macOSXApplication.getClass().getDeclaredMethod("setEnabledPreferencesMenu"`new Class[]{boolean.class});" is 128.,100
magarena,magic.data,OSXAdapter,setFileHandler,Empty catch clause,The method has an empty catch block.,119
magarena,magic.data,OSXAdapter,callTarget,Empty catch clause,The method has an empty catch block.,123
