Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
magarena,magic.data,DownloadImageFile,2,0,3,3,36,6,0,0,0.0,0,0,/temp/magarena/src/magic/data/DownloadImageFile.java,12
magarena,magic.data,SoundEffects,7,5,4,3,35,6,0,0,0.75,4,2,/temp/magarena/src/magic/data/SoundEffects.java,12
magarena,magic.data,TokenCardDefinitions,29,29,28,28,410,28,0,0,1.0,7,6,/temp/magarena/src/magic/data/TokenCardDefinitions.java,14
magarena,magic.data,DeckUtils,3,2,8,7,167,35,0,0,0.375,4,7,/temp/magarena/src/magic/data/DeckUtils.java,25
magarena,magic.data,ReadMeFile,1,0,2,2,20,3,0,0,0.0,1,0,/temp/magarena/src/magic/data/ReadMeFile.java,7
magarena,magic.data,TournamentConfig,24,0,30,28,178,34,0,0,0.1,8,5,/temp/magarena/src/magic/data/TournamentConfig.java,15
magarena,magic.data,HighQualityCardImagesProvider,5,0,5,3,71,9,0,1,0.4,3,4,/temp/magarena/src/magic/data/HighQualityCardImagesProvider.java,15
magarena,magic.data,DeckGenerator,3,0,4,2,82,20,0,0,0.0,2,7,/temp/magarena/src/magic/data/DeckGenerator.java,13
magarena,magic.data,PermanentActivationDefinitions,120,0,300,300,1557,372,0,0,0.9966666666666667,1,45,/temp/magarena/src/magic/data/PermanentActivationDefinitions.java,100
magarena,magic.data,MirrorEntityLocalVariable,1,0,3,3,15,3,0,0,0.6666666666666666,1,4,/temp/magarena/src/magic/data/PermanentActivationDefinitions.java,1334
magarena,magic.data,CardDefinitions,7,0,17,12,223,57,0,0,0.17647058823529413,18,10,/temp/magarena/src/magic/data/CardDefinitions.java,23
magarena,magic.data,CardImagesProvider,3,3,1,1,9,1,1,0,-1.0,6,1,/temp/magarena/src/magic/data/CardImagesProvider.java,6
magarena,magic.data,IconImages,123,122,6,1,241,12,0,0,0.3333333333333333,43,1,/temp/magarena/src/magic/data/IconImages.java,15
magarena,magic.data,LocalVariableDefinitions,16,0,16,16,207,35,0,0,1.0,1,9,/temp/magarena/src/magic/data/LocalVariableDefinitions.java,16
magarena,magic.data,TriggerDefinitions,256,0,361,361,2767,609,0,0,1.0,1,41,/temp/magarena/src/magic/data/TriggerDefinitions.java,98
magarena,magic.data,KeywordDefinitions,5,2,4,3,44,8,0,0,0.5,2,1,/temp/magarena/src/magic/data/KeywordDefinitions.java,10
magarena,magic.data,KeywordDefinition,2,2,0,0,4,0,0,0,-1.0,1,0,/temp/magarena/src/magic/data/KeywordDefinitions.java,60
magarena,magic.data,AvatarImages,5,0,7,4,70,15,0,0,0.2857142857142857,2,4,/temp/magarena/src/magic/data/AvatarImages.java,16
magarena,magic.data,CubeDefinitions,6,1,7,5,84,18,0,0,0.2857142857142857,6,2,/temp/magarena/src/magic/data/CubeDefinitions.java,16
magarena,magic.data,CardEventDefinitions,168,0,273,273,2172,418,0,0,1.0,1,37,/temp/magarena/src/magic/data/CardEventDefinitions.java,86
magarena,magic.data,CardStatistics,19,16,3,2,119,23,0,0,0.0,2,3,/temp/magarena/src/magic/data/CardStatistics.java,15
magarena,magic.data,DownloadImageFiles,1,0,2,1,59,12,0,0,0.0,1,2,/temp/magarena/src/magic/data/DownloadImageFiles.java,15
magarena,magic.data,GeneralConfig,56,0,43,41,251,43,0,0,0.06976744186046512,18,1,/temp/magarena/src/magic/data/GeneralConfig.java,11
magarena,magic.data,TextImages,1,0,1,1,50,1,0,0,0.0,2,1,/temp/magarena/src/magic/data/TextImages.java,8
magarena,magic.data,ManaActivationDefinitions,0,0,4,1,46,6,0,0,-1.0,1,5,/temp/magarena/src/magic/data/ManaActivationDefinitions.java,15
