Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
rundeck,com.dtolabs.launcher,Preferences,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JAVA_HOME; ENV_JAVA_HOME; SYSTEM_RDECK_BASE; RUNDECK_DEFAULTS_PROPERTIES_NAME
rundeck,com.dtolabs.launcher,Setup,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.launcher.Parameters
rundeck,com.dtolabs.launcher,Setup,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger; RDECK_BASE; SETUP_USAGE; FORCE_FLAG; TEMPLATE_RESOURCES_PATH
rundeck,com.dtolabs.launcher,Parameters,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.launcher,SetupException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.shared.resources,ResourceXMLConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DTD_PROJECT_DOCUMENT_1_0_EN; PROJECT_DTD_RESOURCE_PATH; COMMON_DESCRIPTION; COMMON_NAME; COMMON_TAGS; BEAN_NAME; NODE_HOSTNAME; NODE_OS_ARCH; NODE_OS_FAMILY; NODE_OS_NAME; NODE_OS_VERSION; NODE_USERNAME; NODE_EDIT_URL; NODE_REMOTE_URL; nodePropSet; allPropSet; NODE_ENTITY_TAG; ATTRIBUTE_TAG; ATTRIBUTE_NAME_ATTR; ATTRIBUTE_VALUE_ATTR
rundeck,com.dtolabs.shared.resources,ResourceXMLParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.shared.resources.Entity; com.dtolabs.shared.resources.EntitySet
rundeck,com.dtolabs.shared.resources,ResourceXMLParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ENTITY_XPATH
rundeck,com.dtolabs.shared.resources,EntitySet,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.shared.resources.Entity
rundeck,com.dtolabs.shared.resources,EntitySet,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.shared.resources,Entity,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.shared,SharedConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INTERNAL; EXTERNAL; BIDIRECTIONAL; FRAMEWORK_SERVER_HOSTNAME
rundeck,com.dtolabs.rundeck.core.cli,CLIUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: stringContainsWhitespacePredicate; stringContainsQuotePredicate; UNIX_ARGUMENT_QUOTE; UNIX_SHELL_ESCAPE
rundeck,com.dtolabs.rundeck.core.cli,HelpOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HELP_OPTION; HELP_OPTION_LONG
rundeck,com.dtolabs.rundeck.core.cli,ExecTool,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.rundeck.core.cli.NodeYAMLFormatter; com.dtolabs.rundeck.core.cli.NodeFormatter
rundeck,com.dtolabs.rundeck.core.cli,ExecTool,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NODESET_EMPTY_EXIT_CODE; DEFAULT_LOG_FORMAT
rundeck,com.dtolabs.rundeck.core.cli,ExecTool,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
rundeck,com.dtolabs.rundeck.core.cli,NodeFormatter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli,NodeFilterOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FILTER_INCLUDE; FILTER_EXCLUDE; FILTER_INCLUDE_LONG; FILTER_EXCLUDE_LONG; THREADCOUNT; THREADCOUNT_LONG; KEEPGOING; KEEPGOING_LONG; DONTKEEPGOING; DONTKEEPGOING_LONG; FAILEDNODES; FAILEDNODES_LONG
rundeck,com.dtolabs.rundeck.core.cli,LoglevelOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGLEVEL_OPTION; LEVEL_LONG; VERBOSE_OPTION; DEBUG_OPTION; DEBUG; VERBOSE; INFO; WARNING; ERROR
rundeck,com.dtolabs.rundeck.core.cli,TestExecTool,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.rundeck.core.cli.testCentralDispatcher
rundeck,com.dtolabs.rundeck.core.cli,TestExecTool,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
rundeck,com.dtolabs.rundeck.core.cli,testExecutor1,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli,testExecutor1,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
rundeck,com.dtolabs.rundeck.core.cli.jobs,JobsTool,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log4j; ACTION_LIST; ACTION_LOAD; ACTION_PURGE; GROUP_OPTION; NAME_OPTION; IDLIST_OPTION; FILE_OPTION; VERBOSE_OPTION; NAME_OPTION_LONG; GROUP_OPTION_LONG; IDLIST_OPTION_LONG; FILE_OPTION_LONG; VERBOSE_OPTION_LONG; PROJECT_OPTION; PROJECT_OPTION_LONG; DUPLICATE_OPTION; DUPLICATE_OPTION_LONG; REMOVE_UUID_OPTION_SHORT; REMOVE_UUID_OPTION_LONG; FORMAT_OPTION; FORMAT_OPTION_LONG
rundeck,com.dtolabs.rundeck.core.cli.jobs,JobsTool,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
rundeck,com.dtolabs.rundeck.core.cli.jobs,Actions,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli.project,CreateActionArgs,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli.project,BaseActionArgs,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli.project,ProjectTool,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ACTION_CREATE; ACTION_REMOVE
rundeck,com.dtolabs.rundeck.core.cli.queue,QueueTool,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.rundeck.core.cli.queue.Options
rundeck,com.dtolabs.rundeck.core.cli.queue,QueueTool,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log4j; ACTION_LIST; ACTION_KILL; ACTION_FOLLOW; RESTART_OPTION; RESTART_OPTION_LONG; QUIET_OPTION; QUIET_OPTION_LONG; PROGRESS_OPTION; PROGRESS_OPTION_LONG; EXECID_OPTION; EXECID_OPTION_LONG; VERBOSE_OPTION; VERBOSE_OPTION_LONG; PROJECT_OPTION
rundeck,com.dtolabs.rundeck.core.cli.queue,Actions,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli.queue,Options,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESTART_OPTION; RESTART_OPTION_LONG; QUIET_OPTION; QUIET_OPTION_LONG; PROGRESS_OPTION; PROGRESS_OPTION_LONG; EXECID_OPTION; EXECID_OPTION_LONG; VERBOSE_OPTION; VERBOSE_OPTION_LONG; PROJECT_OPTION
rundeck,com.dtolabs.rundeck.core.cli.queue,ConsoleExecutionFollowReceiver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_INDETERMINATE_DELAY
rundeck,com.dtolabs.rundeck.core.cli.queue,Mode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rundeck,com.dtolabs.rundeck.core.cli.run,RunTool,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.dtolabs.rundeck.core.cli.run.Options
