Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
xp,com.enonic.wem.internal.blob,BlobServiceImpl,activate,5,2,0,19,0
xp,com.enonic.wem.internal.blob,BlobServiceImpl,create,3,1,1,28,0
xp,com.enonic.wem.internal.blob,BlobServiceImpl,get,3,1,1,34,0
xp,com.enonic.wem.internal.blob,BlobServiceImpl,setBlobStore,3,1,1,40,0
xp,com.enonic.wem.internal.blob,BlobRecord,BlobRecord,3,1,1,13,0
xp,com.enonic.wem.internal.blob,BlobRecord,getKey,3,1,0,18,0
xp,com.enonic.wem.internal.blob,BlobRecord,getLength,0,1,0,23,0
xp,com.enonic.wem.internal.blob,BlobRecord,getStream,0,1,0,25,0
xp,com.enonic.wem.internal.blob,BlobRecord,toString,3,1,0,28,0
xp,com.enonic.wem.internal.blob,BlobRecord,hashCode,3,1,0,33,0
xp,com.enonic.wem.internal.blob,BlobRecord,equals,3,1,1,38,0
xp,com.enonic.wem.internal.blob,BlobStoreException,BlobStoreException,3,1,1,6,0
xp,com.enonic.wem.internal.blob,BlobStoreException,BlobStoreException,3,1,2,11,0
xp,com.enonic.wem.internal.blob,BlobStore,getRecord,0,1,1,16,0
xp,com.enonic.wem.internal.blob,BlobStore,addRecord,0,1,1,27,0
xp,com.enonic.wem.internal.blob,BlobStore,getAllKeys,0,1,0,40,0
xp,com.enonic.wem.internal.blob,BlobStore,deleteRecord,0,1,1,49,0
xp,com.enonic.wem.internal.blob.file,FileBlobRecord,FileBlobRecord,4,1,2,17,0
xp,com.enonic.wem.internal.blob.file,FileBlobRecord,getLength,3,1,0,23,0
xp,com.enonic.wem.internal.blob.file,FileBlobRecord,getAsFile,3,1,0,28,0
xp,com.enonic.wem.internal.blob.file,FileBlobRecord,getStream,8,1,0,33,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,FileBlobStore,4,1,0,30,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,getRecord,7,2,1,36,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,addRecord,15,1,1,48,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,addRecord,10,3,2,70,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,getAllKeys,12,3,0,86,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,deleteRecord,4,1,1,105,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,getBlobFile,8,1,1,112,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,findFiles,13,4,2,122,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,newTemporaryFile,8,1,0,141,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,mkdirs,13,4,2,154,0
xp,com.enonic.wem.internal.blob.file,FileBlobStore,delete,13,4,1,175,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_one_FormItem_being_matching_MixinReference_then_List_with_size_one_is_returned,7,1,0,20,1
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_two_FormItems_and_one_matching_MixinReference_then_List_with_size_one_is_returned,7,1,0,39,1
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_two_MixinReferences_and_one_is_matching_MixinReferences_then_List_with_size_one_is_returned,9,1,0,59,1
xp,com.enonic.wem.core.schema.mixin,MixinSerializer,toString,0,1,1,9,0
xp,com.enonic.wem.core.schema.mixin,MixinSerializer,toMixin,0,1,1,12,0
xp,com.enonic.wem.core.schema.mixin,GetMixinCommand,execute,4,1,0,15,0
xp,com.enonic.wem.core.schema.mixin,GetMixinCommand,doExecute,14,3,0,22,0
xp,com.enonic.wem.core.schema.mixin,GetMixinCommand,mixinDao,4,1,1,42,0
xp,com.enonic.wem.core.schema.mixin,GetMixinCommand,params,4,1,1,48,0
xp,com.enonic.wem.core.schema.mixin,MixinLoader,loadMixins,6,1,1,38,0
xp,com.enonic.wem.core.schema.mixin,MixinLoader,loadMixin,21,2,2,51,0
xp,com.enonic.wem.core.schema.mixin,MixinLoader,findMixinNames,3,1,1,79,0
xp,com.enonic.wem.core.schema.mixin,MixinLoader,getMixinNameFromResourcePath,4,1,1,88,0
xp,com.enonic.wem.core.schema.mixin,MixinLoader,parseMixinXml,6,1,1,94,0
xp,com.enonic.wem.core.schema.mixin,MixinRegistryImpl,MixinRegistryImpl,3,1,0,15,0
xp,com.enonic.wem.core.schema.mixin,MixinRegistryImpl,getMixin,3,1,1,20,0
xp,com.enonic.wem.core.schema.mixin,MixinRegistryImpl,getMixinsByModule,4,1,1,25,0
xp,com.enonic.wem.core.schema.mixin,MixinRegistryImpl,getAllMixins,3,1,0,31,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsCommand,execute,4,1,0,23,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsCommand,doExecute,8,2,0,30,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsCommand,getMixins,13,3,2,43,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsCommand,mixinDao,4,1,1,62,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsCommand,params,4,1,1,68,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolver,MixinUsageResolver,3,1,1,16,0
